bangla_speech ,banglish_speech ,mymensingh_bangla_speech ,mymensingh_banglish_speech ,region_name ,english_speech
আমি কী বেশি বিরক্ত করি?,ami ki beshi birokto kori?,আমি কিতা বেশি বিরক্ত করি?,ami kita beshi birokto kori?,Mymensingh,What bothers me the most?
আমাকেতো আর ভালো লাগবে না,amaketo ar valo lagbe na,আমারেতো আর ভালা লাগবে না,amareto ar vala lagbe na,Mymensingh,I don't like it anymore
আমার সাথে তোমার কোনো সম্পর্ক নাই,amar sathe tomar kono somporko nai,আমার লগে তোমার কোন সম্পর্ক নাই,amar loge tomar kono somporko nai,Mymensingh,You have nothing to do with me
আমি তোমাকে চিনি না,ami tomake chini na,আমি তোমারে চিনি না,ami tomare chini na,Mymensingh,i don't know you
তুমি আমার প্রথম বন্ধু,tumi amar prothom bondhu,তুমি আমার প্রথম বন্ধু,tumi amar prothom bondhu,Mymensingh,you are my first friend
আজকের আবহাওয়টা অনেক সুন্দর,ajker abhaoyata onek shundor,আজকের আবহাওয়টা মেলা সুন্দর,ajker abohawata mela sundor,Mymensingh,Today's weather is very nice
উনি ভালো মনের মানুষ,uni valo moner manush,উনি ভালা মনের মানুষ,uni vala moner manush,Mymensingh,He is a good hearted person
আমরা এতটাও ভালো না,amra etotao valo na,আমরা এতটাও ভালা না,amra ettota vala na,Mymensingh,We're not that good
আমার টাকা নাই,amar taka nai,আমার টেহা নাই,amar teha nai,Mymensingh,I don't have money
শীতের সকাল অনেক সুন্দর,shiter sokal onek shundor,শীতের সহাল মেলা সুন্দর,shiter sohal mela sundor,Mymensingh,Winter morning is very beautiful
আমার মা আমাকে ভালবাসে,amar ma amake valobashe,আমার মা আমারে ভালবাসে,amar ma amare valobase,Mymensingh,my mother loves me
আমার বন্ধুর বিয়ে আজ,amar bondhur biye aj,আমার বন্ধুর বিয়া আইজকা,amar bondhur biya aijka,Mymensingh,My friend's wedding is today
অল্প সময় ছিলো সে তাতেই মায়ায় পরে আছি,olpo somoy chilo se tatei mayay pore achi,অল্প সময় আসিল হেয় তাতেই মায়ায় পইরা আসি,olpo somoy asilo hey tatei mayay poira asi,Mymensingh,For a short time he was in awe of it
বিয়ের পর তুমি বদলে গেছো,biyer por tumi bodle gecho,বিয়ার পর তুমি বদলায়া গেসো,biyar por tumi bodlaya geso,Mymensingh,You have changed after marriage
কবিতা পড়তে আমার ভালো লাগে,kobita porte amar valo lage,কবিতা পড়তে আমার ভালা লাগে,kobita porte amar vala lage,Mymensingh,I like to read poetry
মেয়ে মানুষ বড়ই অদ্ভুত,meye manush boroi odvut,মাইয়া মানুষ বড়ই অদ্ভুত,maiya manush boroi odvut,Mymensingh,Girl people are very strange
আমি কী অনেক মোটা ? ,ami ki onek mota ?,আমি কিতা অনেক মোডা ?,ami kita onek moda ?,Mymensingh,Am I too fat?
হ্যাঁ তুমি অনেক মোটা ,hae tumi onek mota,হ তুমি মেলা মোডা,ho tumi mela moda,Mymensingh,yes you are very fat
তুমি কি দেখছো ?,tumi ki dekhcho ?,তুমি কিতা দেখতাসো ?,tumi kita dekhtaso ?,Mymensingh,are you watching
তোমার দিকে তাকিয়ে আছি ,tomar dike takiye achi,তোমার দিকে তাকায়া আসি,tomar dike takaya asi,Mymensingh,looking at you
তোমার সৌন্দর্যোতা দেখছি ,tomar soundorjota dekhchi,তোমার সৌন্দর্যোতা দেখতাসি,tomar soundorjota dekhtasi,Mymensingh,I see your beauty
পানির অপর নাম জীবন,panir opor nam jibon,পানির অপর নাম জীবন,panir opor nam jibon,Mymensingh,Another name for water is life
আজ অনেক মজা হল,aj onek moja holo,আইজকে মেলা মজা হইল,aijke mela moja hoilo,Mymensingh,Today was a lot of fun
আমার বিয়েতে দাওয়াত রইলো ,amar biyete dawat roilo,আমার বিয়াতে দাওয়াত রইলো,amar biyate dawat roilo,Mymensingh,I was invited to my wedding
সবাই হারিয়ে যায় ,sobai hariye jay,বেহেই হারায়া যায়,behei haraya jay,Mymensingh,Everyone is lost
আমার কোনো বন্ধু নেই ,amar kono bondhu nei,আমার কোন বন্ধু নাই,amar kono bondhu nai,Mymensingh,I don't have any friends
এই পৃথিবীতে আমি বড্ড একা ,ei prithibite ami boddo eka,এই দুনিয়াতে আমি বড্ড একলা,ei duniyate ami boddo ekla,Mymensingh,I am very alone in this world
তুমি রান্না করতে পারো ?,tumi ranna korte paro ?,তুমি রান্না করতে পার ?,tumi ranna korte paro ?,Mymensingh,Can you cook?
তোমার হাতের লেখা অনেক সুন্দর ,tomar hater lekha onek shundor,তোমার হাতের লেহা মেলা সুন্দর,tomar hater leha mela sundor,Mymensingh,Your handwriting is very beautiful
আমি গল্পের বই কিনবো ,ami golper boi kinbo,আমি গল্পের বই কিনবাম,ami golper boi kinbam,Mymensingh,I will buy story books
আমি আজকে ঢাকায় যাবো ,ami ajke dhakay jabo,আমি আইজকে ঢাকায় যায়াম,ami aijke dhakay jayam,Mymensingh,I will go to Dhaka today
ঢাকায় আমার চাকরি হয়েছে ,dhakay amar chakri hoyeche,ঢাকায় আমার চাকরি হইসে,dhakay amar chakri hoise,Mymensingh,I got a job in Dhaka
চাকরি করতে আর ভালো লাগে না,chakri korte ar valo lage na,চাকরি করতে আর ভালা লাগে না,chakri korte ar vala lage na,Mymensingh,I don't like to work anymore
মা আমার অনেক যত্ন নেয় ,ma amar onek jotno ney,মা আমার মেলা যত্ন নেয়,ma amar mela jotno ney,Mymensingh,Mother takes care of me a lot
আমার মায়ের রান্না অনেক মজার,amar mayer ranna onek mojar,আমার মায়ের রান্না মেলা মজার,amar mayer ranna mela mojar,Mymensingh,My mother's cooking is very interesting
বিয়েতে আমার মত নাই ,biyete amar mot nai,বিয়াতে আমার মত নাই,biyate amar mot nai,Mymensingh,I don't like marriage
পাহাড়ের চূড়ায় উঠতে চাই ,paharer churay uthte chai,পাহাড়ের চূড়ায় উঠতাম চাই,paharer churay uthtam cai,Mymensingh,I want to climb to the top of the mountain
এক পাশে সাগর এক পাশে বালি ,ek pashe sagor ek pashe bali,এক পাশে সাগর এক পাশে বালি,ek pashe sagor ek pashe bali,Mymensingh,On one side is the sea and on the other side is the sand
তোমার ছেলে অনেক দুষ্টু ,tomar chele onek dushtu,তোমার ছেড়া অনেক দুষ্ট,tomar chera onek dushto,Mymensingh,Your son is very naughty
কালকে থেকে পড়তে বসবো ,kalke theke porte boshbo,কালকে থাইক্কা পড়তাম বসবাম,kalke thaikka portam bosbam,Mymensingh,I will sit down to read from tomorrow
আমার ঘড়ীটা খুজে পাচ্ছি না ,amar ghorita khuje pacchi na,আমার ঘড়ীটা খুইজ্জা পাইতাসি না,amar ghorita khuijja paitasi na,Mymensingh,I can't find my watch
মানুুষ অনেক স্বার্থপর হয় ,manush onek sarthopor hoy,মানুুষ মেলা স্বার্থপর হয়,manush mela sarthopor hoy,Mymensingh,People are very selfish
কিন্তু কিছু মানুষ অনেক ভালো,kintu kichu manush onek valo,কিন্তু কিসু মানুষ মেলা ভালা,kintu kisu manush mela vala,Mymensingh,But some people are much better
আমি তাদেরই একজন হতে চাই ,ami taderi ekjon hote chai,আমি তারারই একজন হইতাম চাই,ami tarar e ekjon hoitam cai,Mymensingh,I want to be one of them
তোমার পরিবারে কি আমায় মেনে নিবে? ,tomar poribare ki amay mene nibe?,তোমার পরিবারে কি আমায় মাইন্না নিব?,tomar poribare ki amay mainna nibo?,Mymensingh,Will you accept me in your family?
তুমি অনেক যত্নশীল ,tumi onek jotnoshil,তুমি মেলা যত্নশীল,tumi mela jotnoshil,Mymensingh,you are very caring
তোমাদের পরীক্ষা কবে ?,tomader porikkha kobe ?,তোমরার পরীক্ষা কবে ?,tomrar porikkha kobe ?,Mymensingh,When is your exam?
খেলার মাঠে আজকে অনেক মানুষ ,khelar mathe ajke onek manush,খেলার মাঠে আইজকে মেলা মানুষ,khelar mathe aijke mela manush,Mymensingh,Many people in the playground today
তুমি ভালো আছো?,tumi valo acho?,তুমি ভালা আসো?,tumi vala aso?,Mymensingh,Are you good?
আমি ভালো নেই ,ami valo nei,আমি ভালা নাই,ami vala nai,Mymensingh,I'm not well
তোমাকে ছাড়া আমি ভালো নেই,tomake chara ami valo nei,তোমারে ছাইড়া আমি ভালা নাই,tomare chaira ami vala nai,Mymensingh,I'm not good without you
বিপদ বলে কয়ে আসে না,bipod bole koye ashe na,বিপদ বইল্লা কয়া আয় না,bipod boilla koya ay na,Mymensingh,Danger does not come
ছেলেটির রাগ অনেক বেশী  ,cheletir rag onek beshi,ছেড়াডার রাগ মেলা বেশী,cheradar rag mela beshi,Mymensingh,The boy is very angry
আমি একজন খারাপ মানুষ ,ami ekjon kharap manush,আমি একজন খারাপ মানুষ,ami ekjon kharap manush,Mymensingh,I am a bad person
তুমি কি চাও? ,tumi ki chao?,তুমি কিতা চাও?,tumi kita chao?,Mymensingh,what do you want
তুমি কি চাও আমি চলে যাই?,tumi ki chao ami chole jai?,তুমি কি চাও আমি চইল্লা যাই?,tumi ki chao ami coilla jai?,Mymensingh,Do you want me to leave?
আমি চাই তুমি সবসময় আমার সাথে থাকো,ami chai tumi sobsomoy amar sathe thako,আমি চাই তুমি বেগসময় আমার লগে থাকো,ami chai tumi begsomoy amar loge thako,Mymensingh,I want you to be with me always
কিন্তু এইটা কোনদিনও সম্ভব না ,kintu eita konodino somvob na,কিন্তু এইডা কোনদিনও সম্ভব না,kintu eida konodino somvob na,Mymensingh,But this is never possible
তুমি কি বিয়েতে রাজি ?,tumi ki biyete raji ?,তুমি কি বিয়াতে রাজি ?,tumi ki biyate raji ?,Mymensingh,Are you willing to marry?
আমি রাজি না ,ami raji na,আমি রাজি না,ami raji na,Mymensingh,I don't agree
পাখিটা দেখতে সুন্দর ,pakhita dekhte shundor,পাখিডা দেখতে সুন্দর,pakhida dekhte sundor,Mymensingh,The bird is beautiful
লাল রঙের শাড়িতে তোমায় ভালো মানাবে ,lal ronger sharite tomay valo manabe,লাল রঙের শাড়িতে তোমরে ভালা মানাইব,lal ronger sharite tomre vala manaibo,Mymensingh,A red color saree will suit you well
নীল রঙ আমার অনেক পছন্দ ,nil rong amar onek pochondo,নীল রঙ আমার মেলা পসন্দ,nil rong amar mela posondo,Mymensingh,I like blue color a lot
আমি তোমায় ভালবাসি না,ami tomay valobashi na,আমি তোমায় ভালবাসি না,ami tomay valobasi na,Mymensingh,I don't love you
কেন ভালোবাসো না আমায় ? ,ken valobasho na amay ?,কেন ভালোবাস না আমায় ?,ken valobaso na amay ?,Mymensingh,Why don't you love me?
আমার মধ্যে সমস্যা আছে ,amar moddhe somossa ache,আমার মধ্যে সমস্যা আসে,amar moddhe somossha ase,Mymensingh,I have a problem
আমার মাথা গরম থাকে ,amar matha gorom thake,আমার মাথা গরম থাহে,amar matha gorom thahe,Mymensingh,I have a hot head
আমি বদমেজাজি লোক ,ami bodmejaji lok,আমি বদমেজাজি বেডা,ami bodmejaji beda,Mymensingh,I am a grumpy person
বেশী কথা আমার পছন্দ না ,beshi kotha amar pochondo na,বেশী কথা আমার পসন্দ না,beshi kotha amar posondo na,Mymensingh,I don't like talking too much
তুমি বোকা একজন মানুষ,tumi boka ekjon manush,তুমি বোকা একজন মানুষ,tumi boka ekjon manush,Mymensingh,You are a stupid man
তুমি বেশী কথা বলো,tumi beshi kotha bolo,তুমি বেশী কথা কও,tumi beshi kotha kow,Mymensingh,You talk too much
তুমি অল্প কথা বলো ,tumi olpo kotha bolo,তুমি অল্প কথা কও,tumi olpo kotha kow,Mymensingh,You speak little
আমি আজ সকালে চা খাই নাই,ami aj sokale cha khai nai,আমি আইজকে সহালে চা যাই ,ami aijke sohale ca khai jai,Mymensingh,I didn't have tea this morning
আমি আজ সকালে আমার বন্ধুদের সাথে ঘুরতে গিয়েছিলাম,ami aj sokale amar bondhuder sathe ghurte giyechilam,আমি আইজকে সহালে আমার বন্ধুরার সাথে ঘুরতে গেসিলাম,ami aijke sohale amar bondhurar sathe ghurte gesiloam,Mymensingh,I went for a walk with my friends this morning
আমি আজ সকালে আমার বন্ধুর সাথে ঝগড়া করেছি,ami aj sokale amar bondhur sathe jhogra korechi,আমি আইজকে সহালে আমার বন্ধুরার লগে ঝগড়া করসি,ami aijke sohale amar bondhurar loge jhogra korsi,Mymensingh,I had a fight with my friend this morning
আমার বন্ধু আমার সব কথা খুবই মনোযোগ দিয়ে শুনে,amar bondhu amar sob kotha khubi monojog diye shune,আমার বন্ধু আমার বেগ কথা খুবই মনোযোগ দিয়ে হুনে,amar bondhu amar beg kotha khubi monojog diye hune,Mymensingh,My friend listens to me very attentively
আমার বন্ধু হয়ত আমাকে অনেক ভালবাসে,amar bondhu hoyoto amake onek valobashe,আমার বন্ধু হয়ত আমারে মেলা ভালবাসে,amar bondhu hoyto amare mela valobase,Mymensingh,My friend may love me a lot
আমার একটি বিড়াল আছে,amar ekti biral ache,আমার একটা বিলাই আসে,amar ekta bilai ase,Mymensingh,I have a cat
আমার বিড়ালের নাম মিনু,amar biraler nam minu,আমার বিলাইয়ের নাম মিনু,amar bilaiyer nam minu,Mymensingh,My cat's name is Minu
আমি আমার বিড়ালের সাথে খেলতে অনেক ভালবাসি,ami amar biraler sathe khelte onek valobasi,আমি আমার বিলাইয়ের লগে খেলতে মেলা ভালবাসি,ami amar bilaiyer loge khelte mela valobasi,Mymensingh,I love to play with my cat
"এই ১৪ টি বছরে আজও কোন কারনে উনি আমাকে ""তুই"" বলে ডাকেনি ","ei 14 ti bochore ajo kono karone uni amake ""tui"" bole dakeni ","এই ১৪ টি বছরে আজও কোন কারনে হেয় আমারে ""তুই"" কয়া ডাহে নাই ","ei 14 ti bochore ajo kon karone hey amare ""tui"" koya dahe nai ",Mymensingh,"Even in these 14 years he never called me ""you"" for any reason"
কখনো গায়ে হাত তুলে নি,kokhono gaye hat tule ni,কহনো গায়ে হাত তুলে নাই,kohno gaye hat tule nai,Mymensingh,Never raised a hand
লোক দেখানো শেষ?,lok dekhano shesh?,লোক দেহানু শেষ?,lok dehanu shesh?,Mymensingh,Is the show over?
এত তাড়াতাড়ি শেষ,eto taratari shesh,এত তাড়াতাড়ি শেষ,eto taratari shesh,Mymensingh,It's over so soon
বুঝতেছিনা কি করবো আমি,bujhtechina ki korbo ami,বুঝতাসিনা কিতা করবাম আমি,bujhtasina kita korbam ami,Mymensingh,I don't know what to do
আমার দুই বিয়ে হয়েছে,amar dui biye hoyeche,আমার দুই বিয়া হইসে,amar dui biya hoise,Mymensingh,I have two marriages
আমি একজন মেয়ে মানুষ,ami ekjon meye manush,আমি একজন মেয়ে মানুষ,ami ekjon meye manush,Mymensingh,I am a girl person
"আমার দ্বিতীয়  বিয়ে নিয়ে আমার নিজের কাকারা, মামারা খোঁচা মেরে কথা বলে","amar ditio biye niye amar nijer kakara, mamara khoca mere kotha bole","আমার দ্বিতীয় বিয়া নিয়া আমার নিজের কাক্কারা, মামারা খোঁচা মাইরা কথা কয়","amar ditiyo biya niya amar nijer kakkara, mamara khoca maira kotha koy",Mymensingh,"My own cousins, uncles talk about my second marriage"
কিন্তু আজ পর্যন্ত আমার স্বামী আমাকে খোঁচা মেরে কথা বলেনি,kintu aj porjonto amar shami amake khocha mere kotha boleni,কিন্তু আইজ পর্যন্ত আমার জামাই আমারে খোঁচা মেরে কথা কয়নাই,kintu aij porjonto amar jamai amare khoca mere kotha koynai,Mymensingh,But till today my husband has not spoken to me by punching me
ভাবছি আপন লোক কি এমনই হয়?,vabchi apon lok ki emni hoy?,ভাবসি আপন লোক কিতা এমনই হয়?,vabsi apon lok kita emni hoy?,Mymensingh,I wonder if people are like this?
আমার আপন লোক গুলোই এমন,amar apon lok guloi emon,আমার আপন লোক গুলাই এমন,amar apon lok gulai emon,Mymensingh,My own people are like that
আমার আর বাঁচতে ইচ্ছে করেনা জানেন,amar ar bachte icche korena janen,আমার আর বাঁচতে ইচ্ছা করেনা জানেন,amar ar bacte iccha korena janen,Mymensingh,You know I don't want to live anymore
আমার প্রথম বিয়ে আমাকে জোর করে দেয়,amar prothom biye amake jor kore dey,আমার প্রথম বিয়া আমারে জোর কইরা দেয়,amar prothom biya amare jor koira dey,Mymensingh,My first marriage forced me
সেখানে ছেলে অনেক কিপটা ছিলো আমি দুইবেলা ভাত খেতে পারতাম না,sekhane chele onek kipta chilo ami duibela vat khete partam na,অইহানে ছেড়া মেলা কিপটা আসিল আমি দুইবেলা ভাত খাইতে পারতাম না,oihane chera mela kipta asilo ami duibela vat khaite partam na,Mymensingh,"There were so many kips, I couldn't eat rice for two meals"
দ্বিতীয়  বিয়েতে আমি কল্পনার চেয়েও বেশি সুখী,ditiyo  biyete ami kolponar cheyeo beshi sukhi,দ্বিতীয়  বিয়াতে আমি কল্পনার চেয়েও বেশি সুখী,ditiyo  biyate ami kolponar ceyeo beshi sukhi,Mymensingh,I am happier than I could have imagined in my second marriage
এইগুলো দেখেও সবাই না দেখার ভান করে,eigulo dekheo sobai na dekhar van kore,এইগুলা দেইক্ষাও বেহেই না দেহার ভান করে,eigula deikkhao behei na dehar van kore!,Mymensingh,Everyone pretends not to see these
খোঁচা মারার মতো কথা আছেই যে আমার দুই বিয়ে,khocha marar moto kotha achei je amar dui biye,খোঁচা মারার মত কথা আসেই যে আমার দুই বিয়া,khoca marar moto kotha asei je amar dui biya,Mymensingh,I have two marriages
আমার সুখ দেখে আবার তাদের সহ্য হয়না,amar sukh dekhe abar tader sojjo hoyna,আমার সুখ দেইক্ষা আবার তারার সহ্য হয়না,amar sukh deikkha abar tarar sojjo hoyna,Mymensingh,They can't bear to see my happiness
বিয়ে করার পাঁচ বছর পর এখন আমি স্মার্ট হইসি,biye korar pach bochor por ekhon ami smart hoisi,বিয়া করনের পাঁচ বছর পর এহন আমি স্মার্ট হইসি,biya koroner pac bochor por ehon ami smart hoisi,Mymensingh,After five years of marriage now I am smart
প্রথম প্রথম বউ এর অনেক প্রশ্নের সঠিক উত্তর দিয়ে বিপদে পড়তাম,prothom prothom bou er onek proshner sothik uttor diye bipode portam,প্রথম প্রথম বউ এর মেলা প্রশ্নের সঠিক উত্তর দিয়া বিপদে পড়তাম,prothom prothom bou er mela proshner sothik uttor diya bipode portam,Mymensingh,I was in danger by answering many of the first wife's questions correctly
বিশাল ক্যাচাল লেগে যেতো,bishal kechal lege jeto,বিশাল ক্যাচাল লাইজ্ঞা যাইত,bishal kacal laigga jaito,Mymensingh,There was a huge catch
এরপর ঠিক করলাম তেল মারা উত্তর দিবো,erpor thik korlam tel mara uttor dibo,এরপর ঠিক করলাম তেল মারা উত্তর দিয়াম,eropor thik korlam tel mara uttor diyam,Mymensingh,After that I decided to reply with oil
এতে ও লাভ হলো না,ete o lav holo na,এতে ও লাভ হইল না,ete o lav hoilo na,Mymensingh,It did not help
ক্যাচাল থামলো না,kechal thamlo na,ক্যাচাল থামলো না,kacal thamlo na,Mymensingh,Catchall didn't stop
হালকা পাতলা লাভ হচ্ছে,halka patla lav hocche,হালকা পাতলা লাভ হইতাসে,halka patla lav hoitase,Mymensingh,Light weight gain
"বউ খাবার সময় বেশ হাসি মুখে বল্লো, রান্না কেমন হয়েছে?","bou khabar somoy besh hasi mukhe bollo, ranna kemon hoyeche?","বউ খাওনের সময় বেশ হাসি মুখে কইল, রান্না কেমত হইসে?","bou khawner somoy besh hasi mukhe koilo, ranna kemot hise?",Mymensingh,"The wife said with a smile during the meal, how was the cooking?"
খাবারে আরেকটু রসুন দিলে বেশী মজা হতো,khabare arektu roshun dile beshi moja hoto,খাওনে আরেকটু রসুন দিলে বেশী মজা হইত,khawne arektu rosun dile beshi moja hoito,Mymensingh,A little more garlic in the food would have been more fun
খাবারে লবণ একটু কম হয়েছে,khabare lobon ektu kom hoyeche,খাওনে লবণ একটু কম হইসে,khawne lobon ektu kom hoise,Mymensingh,The salt in the food is a little less
তোমার খাওয়া লাগবে না,tomar khaoya lagbe na,তোমার খাওয়ন লাগব না,tomar khawyon lagob na,Mymensingh,You don't need to eat
আমি তো আসলে কিছুই পারি না,ami to ashole kichui pari na,আমি তো আসলে কিসুই পারি না,ami to asole kisui pari na,Mymensingh,I can't really do anything
বউ এর চোখ ছলছল,bou er chokh cholchol,বউ এর চোখ ছলছল,bou er chokh cholchol,Mymensingh,The wife's eyes are full
তুমি আমাকে আর কত অবাক করবা,tumi amake ar koto obak korba,তুমি আমারে আর কত অবাক করবা,tumi amare ar koto obak korba,Mymensingh,How much more will you surprise me?
এক চামচ খেয়েই এতো কথা বলে দিলা,ek camoch kheyei eto kotha bole dila,এক চামচ খায়াই এতো কথা কয়া দিলা,ek chamoc khayai eto kotha koya dila,Mymensingh,He said so much just by eating one spoon
চাপাবাজি টা একটু কমাও,chapabaji ta ektu komao,চাপাবাজি ডা একটু কমাও,chapabaji da ektu komao,Mymensingh,Reduce the pressure
তুমি রেঁধেছো,tumi redhecho,তুমি রানসো,tumi ranso,Mymensingh,You cooked
আমি তো ভাবলাম শাশুড়ি আম্মা আমার জন্য রান্না করে পাঠিয়েছেন,ami to vablam shashuri amma amar jonno ranna kore pathiyechen,আমি তো ভাবলাম শাশুড়ি আম্মা আমার লাইজ্ঞা রাইন্দা পাঠাইসেন,ami to vablam shashuri amma amar laigga rainda pathaisen,Mymensingh,I thought my mother-in-law had cooked for me
তোমার রান্না তো পুরা আম্মার মতো,tomar ranna to pura ammar moto,তোমার রান্না তো পুরা আম্মার মতো,tomar ranna to pura ammar moto,Mymensingh,Your cooking is just like my mother's
"আরেক টু খাও, এক চামুচ দেই?","arek tu khao, ek chamuc dei?","আরেক টু খাও, এক চামুচ দেই?","arek tu khao, ek chamuch dei?",Mymensingh,"Eat another two, give a spoon?"
মেকআপ টা কেমন হইসে?,makeup ta kemon hoise?,মেকআপ টা কেমন হইসে?,mekap ta kemon hoise?,Mymensingh,How is the makeup?
"একটু বেশী হয়ে গেসে, কম হলে আরো ভালো লাগতো","ektu beshi hoye gese, kom hole aro valo lagto","একটু বেশী হয়া গেসে, কম হইলে আরো ভালা লাগতো","ektu beshi hoya gese, kom hoile aro vala lagto",Mymensingh,"A little more, less would have been better"
"বউ মেকআপ তুলতে তুলতে, যাবোই না আজ","bou makeup tulte tulte, jaboi na aj","বউ মেকআপ তুলতে তুলতে, যামুই না আইজ","bou mekap tulte tulte, jamui na aij",Mymensingh,I will not go today to pick up my wife's makeup
আমি তো মেকআপই দিতে পারি না,ami to makeup dite pari na,আমি তো মেকআপই দিতাম পারি না,ami to mekapi ditam pari na,Mymensingh,I can't afford makeup
তুমি যাও একা একা,tumi jao eka eka,তুমি যাও একলা একলা,tumi jao ekla ekla,Mymensingh,you go alone
পার্টি তে গিয়ে সুন্দরি দের সাথে ঢং করে আসো,party te giye shundori der sathe dhong kore aso,পার্টি তে যায়া সুন্দরি দের সাথে ঢং কইরা আস,party te jaya sundori der sathe dhong koira aso,Mymensingh,Go to the party and rock with the beauties
কিভাবে এতো জোস মেকআপ করো,kivabe eto joss makeup koro,কিভাবে এতো জোস মেকআপ কর,kivabe eto jos mekap koro,Mymensingh,How to do so much makeup
না বুঝে বেশী কথা বলো কেন ,na bujhe beshi kotha bolo ken ,না বুইজ্ঝা বেশী কথা কও কিল্লেগা ,na buijjha beshi kotha kow killega ,Mymensingh,Why talk more without understanding?
"আমার দিকে তো আর তাকাও না, চোখ থাকে অন্য মেয়েদের দিকে","amar dike to ar takao na, chokh thake onno meyeder dike","আমার দিকে তো আর তাকাও না, চোখ থাকে অন্য মাইয়ারার দিকে!","amar dike to ar takao na, chokh thake onno maiyarar dike",Mymensingh,"Don't look at me anymore, eyes are on other girls"
আমি বেশ কিছুক্ষন তাঁর মুখের দিকে তাকিয়ে থাকলাম,ami besh kichukhon tar mukher dike takiye thaklam,আমি বেশ কিসুক্ষন তাঁর মুহের দিকে তাকায়া থাকলাম,ami besh kisukkhon tar muher dike takaya thaklam,Mymensingh,I stared at his face for some time
তুমি এতো কিছু বুঝো কিভাবে,tumi eto kichu bujho kivabe,তুমি এতো কিসু বুঝো কেমনে,tumi eto kisu bujho kemne,Mymensingh,How do you understand so much?
শাড়িটা আমাকে কেমন মানিয়েছে,sharite amake kemon maniyeche,শাড়িডা আমারে কেমন মানাইসে,sharida amare kemon manaise,Mymensingh,How does the saree fit me?
সবুজ শাড়িটা পড়লে দারুন লাগতো,sobuj sharita porle darun lagto,সবুজ শাড়িডা পড়লে দারুন লাগত,sobuj sharida porle darun lagto,Mymensingh,The green saree looked great
সবুজ শাড়ি কি তোমার এক্স কোনো গার্লফ্রেন্ডের পছন্দের রঙ,sobuj shari ki tomar ex kono girlfriender pochonder rong,সবুজ শাড়ি কি তোমার এক্স কোনো গার্লফ্রেন্ডের পসন্দের রঙ,sobuj shari ki tomar ex kono girl friend er posonder rong,Mymensingh,Is green saree your ex girlfriend's favorite color
"এই সব তেল আমাকে দিবা না, বিরক্ত লাগে","ei sob tel amake diba na, birokto lage","এই সব তেল আমারে দিবা না, বিরক্ত লাগে","ei sob tel amare diba na, birokto lage",Mymensingh,"Don't give me all these oils, I feel bored"
"মাথায় রেখো, বিয়ে বাড়িতে যাচ্ছো","mathay rekho, biye barite jaccho","মাথায় রাইক্ষো, বিয়া বাড়িত যাইতাসো","mathay raikkho, biya barit jaitaso",Mymensingh,"Keep in mind, you are going to get married"
বউ এর চেয়ে তোমাকে বেশী সুন্দর লাগলে কিন্তু সমস্যা,bou er cheye tomake beshi sundor lagle kintu somossa,বউ এর চেয়ে তোমারে বেশী সুন্দর লাগলে কিন্তু সমস্যা,bou er ceye tomare beshi sundor lagle kintu somossa,Mymensingh,"If you think you are more beautiful than your wife, it is a problem"
বিবাহিত জীবনে সুখে থাকুন,bibahito jibone sukhe thakun,বিবাহিত জীবনে সুখে থাহেন,bibahito jibone sukhe thahen,Mymensingh,Be happy in your married life
আমার স্বামী মদ খায় রাতের পর রাত বন্ধুদের সাথে আড্ডা দেয়,amar sami mod khay rater por rat bondhuder sathe adda dey,আমার জামাই মদ খায় রাতের পর রাত বন্ধুরার সাথে আড্ডা দেয়,amar jamai mod khay rater por rat bondhurar sathe adda dey,Mymensingh,My husband drinks alcohol and hangs out with friends night after night
আমি এটা স্বাভাবিকভাবে নিয়েছিলাম,ami eta savabikvabe niyechilam,আমি এইডা স্বাভাবিকভাবে নিসিলাম,ami eida savabikvabe nisilam,Mymensingh,I took it for granted
আমার কাছে ধরা পড়ার পরেও স্বীকার না করে উল্টা আমার গায়ে হাত তুলে,amar kache dhora porar poreo shikar na kore ulta amar gaye hat tule,আমার কাছে ধরা পড়ার পরেও স্বীকার না করে উল্টা আমার গায়ে হাত তুলে,amar kache dhora porar poreo sikar na kore ulta amar gaye hat tule,Mymensingh,"Even after being caught by me, Ulta raised her hand on me without admitting it"
এখন তাকে আর ছাড় দেওয়া যাবে না,ekhon take ar char deoya jabe na,এখন তারে আর ছাড় দেওয়ন যাইব না,ekhon tare ar char deoyon jaibo na,Mymensingh,Now he cannot be exempted
যে মানুষ গায়ে হাত তোলে অন্য মেয়েদের সাথে কথা বলে ঘরে বউ রেখে,je manush gaye hat tole onno meyeder sathe kotha bole ghore bou rekhe,যে মানুষ গায়ে হাত তুলে অন্য মাইয়ারার সাথে কথা কয় ঘরে বউ রাইক্ষা।,je manush gaye hat tule onno maiyarar sathe kotha koy ghore bu raikkha,Mymensingh,The man who touches his body talks to other girls and keeps his wife at home
এমন পুরুষদের সাথে সংসার যায় না,emon purushder sathe songsar jay na,এমন বেডারার লগে সংসার যায় না,emon bedarar loge songsar jay na,Mymensingh,You can't get along with such men
