bangla_speech ,banglish_speech ,chittagong_bangla_speech ,chittagong_banglish_speech ,region_name ,english_speech
আম্মুই আমাকে আর ভাইকে বড় করছে অনেক কষ্ট করে,ammui amake ar vaike boro korche onek koshto kore,আম্মু আরে আর বাইরে ডর হইজ্জে বোত কষ্টত,ammu are ar baire dor hoijje bot koshtot,Chittagong,My mother is raising me and my brother very hard
আমাকে আগে সবাই আদর করত,amake age sobai ador korto,আরে আগে বেজ্ঞুনে আদর হরিতো,are age beggune ador horito,Chittagong,Everyone loved me before
যত বড় হলাম সবার চোখে এক প্রকার বিশ এর মত হয়ে গেলাম আমি,joto boro holam sobar cokhe ek prokar bish er moto hoye gelam ami,যত ডর হইয়ি বেজ্ঞুনের চখত এক রিম্মা বিশ এর ডইল্লা অই গিয়ি,jot dor hoiyi begguner chokhot ek rimma bish er doilla oi giyi,Chittagong,"As I grew older, I became like a twenty-something in everyone's eyes"
আগের তুলনায় আব্বু অনেক ভালো হয়ছেন,ager tulonay abbu onek valo hoychen,আগের তুন আব্বু বওত গম অইয়ে,ager tun abbu bout gom oiye,Chittagong,Dad is much better than before
আমার খালামুনির বিয়ে হইছে ২০১৫তে,amar khalamunir biye hoiche ২০১৫te,আর হাালামুনির বইয়া অইয়ে ২০১৫তে,ar haalamunir boiya oiye ২০১৫তে,Chittagong,My cousin got married in 2015
আমার খালামুনির দুইটা ছেলে আছে,amar khalamunir duita chele ache,আর হালামুনির দুইয়ান ফুয়া আসে,ar halamunir duiyan fuya ase,Chittagong,My uncle has two sons
বিয়ের আগে খালামুনিই আমাকে বড় করছে,biyer age khalamunii amake boro korche,বিয়াার আগত হালামুনি আরে ডর হইজ্জে,biyar agot halamuni are dor hoijje,Chittagong,Khalamuni is raising me before marriage
আম্মু কিছু হলেই আমাকে মার ধর করে,ammu kichu holei amake mar dhor kore,আম্মুর কিছু অইলে আরে মারে,ammur kichu oile are mare,Chittagong,Mom beats me if anything happens
আমার আব্বু যে এত খারাপ কখনো ফুলের টোকাও দেয় নাই,amar abbu je eto kharap kokhono fuler tokao dey nai,আর আব্বার এরিম্মা হারাপ দে ফুলের টোকাও নো দে,ar abbar erimma harap de fuler tokao no de,Chittagong,My father who is so bad has never touched a flower
আমি একজন ছেলে বর্তমানে বাংলাদেশ নেভীতে কর্মরত আছি,ami ekjon chele bortomane bangladesh navy te kormoroto achi,আই একজ্ঞো ফা্যা এহন বাংলাদেশ নেভীতে হাম গরি,ai ekoggoo faja ehon bangladesh navy te ham gori,Chittagong,I am a boy currently working in Bangladesh Navy
আমি ৪ মাস আগে পরিবারের পছন্দে বিয়ে করেছি,ami ৪ mash age poribarer pochonde biye korechi,আই ৪ মাস আগোত ফরিবারেরে ফছন্দত বিয়া হইজ্জি,ai ৪ mas agot foribarere fochondot biya hoijji,Chittagong,I got married 4 months ago by family choice
আমি সকাল ৮ টাই ডিউটিতে চলে যাই,ami sokal ৮ tai dutyte chole jai,আই বেইন্না ৮ টাত ডিউটি'ত চলি যাইগোই,ai beinna ৮ tat duty't choli jaigoi,Chittagong,I leave for duty at 8 am
আমার স্ত্রী একদিনও সময়মতো টেবিলে খাবার দিতে পারে না অনেক সময় বাইরে গিয়ে নাস্তা করি,amar stree ekdino somoymoto table e khabar dite pare na onek somoy baire giye nasta kori,আর বউ একদিনোও সময়মতো টেবিলোত হাবার দিতি নো ফারে বউত টাইম বাইরে নাস্তা গরি,ar bou ekdinoo somoymoto table ot  habar diti no fare bout time baire nasta gori,Chittagong,My wife can't even put food on the table on time. Many times I go out for breakfast
সে এতো সকালে নাকি উঠতে পারে না,se eto sokale naki uthte pare na,ইতে এত ফজরোর উডির নো ফারে,ite et fojror udir no fare,Chittagong,He can't get up so early in the morning
সে তার বাপের বাড়িতে থাকতে নাকি ১০ টার আগে ঘুম থেকে উঠতো নাহ,se tar baper barite thakte naki ১০ tar age ghum theke uthto nah,ইতে ইতার বাফোর বাড়ীত থাকিতো নাকি ১০ টার আগোত ঘুমের তুন নো উঠিত,ite itar bafor barit thakito naki ১০ tar agot ghumer tun no uthit,Chittagong,He used to stay at his father's house or wake up before 10 o'clock
সে প্রচন্ড অলস একটা কাজ সময়মতো করতে পারে না,se procondo olos ekta kaj somoyomto korte pare na,ইতে বেশী অলস এইজ্ঞ হাজো সময় মতো নো গরে,ite beshi olos eiggo hajo somoy moto no gore,Chittagong,He is very lazy and cannot do a job on time
"সারাদিন বাসায় বসে ফেইসবুক, টিকটকে সময় কাটে তার","saradin basay boshe facebook,tiktoke somoy kate tar",আরাদিন বাসাত বইয়েরে ফেইসবুক টিকটকত সময় হাঠে ইতার,aradin basat boiyere facebook tiktok ot somoy hathe itar,Chittagong,He spends the whole day sitting at home on Facebook and Tiktok.
আমাদের মধ্যে প্রায়সময় ঝগড়া হয়,amader moddhe praysomoy jhogra hoy,আরোর ফ্রায়সময় কইজ্জা অয়,aror fraysomoy koijja oy,Chittagong,We often quarrel
আমি খুব সমস্যায় আছি,ami khub somossay achi,আই বেশি সমস্যাত আছি,ai beshi somossat achi,Chittagong,I'm in a lot of trouble
দিন দিন হতাশার মধ্যে ডুবে যাচ্ছি এর মুক্তি পাবো কিভাবে?,din din hotashar moddhe dube jacchi er mukti pabo kivabe?,দিন দিন হতাশার মইদ্দে ডুবি যাইর গই মুক্তি হত্তে ফাইয়ুম,din din hotashar moidde dubi jair goi mukti hotte faiyum,Chittagong,How to get rid of sinking into depression day by day?
আমি সত্যিই খুব অসহায় বোধ করতেছি,ami sottii khub oshay bodh kortechi,আই সত্যি খুব অসহায় বোদ গরির,ai sotti khub oshohay bod gorir,Chittagong,I feel really helpless
পোস্ট ভালো না লাগলে এড়িয়ে যান,post valo na lagle eriye jan,ফোস্ট গম না লাগিলে চলি যো গয়,fost gom na lagile choli jo goy,Chittagong,Skip the post if you don't like it
একটা মেয়ে ছয়টা ছেলের সাথে প্রেম করছে,ekta meye choyta cheler sathe prem korche,এইজ্ঞো মাইয়ার ছোগান ফুয়ার লয় প্রেম গরের,eiggoo maiyar chogan fuyar loy prem gorer,Chittagong,A girl is in love with six boys
ভিডিও বানানোর কী দরকার ছিল?,video bananor ki dorkar chilo?,ভিডিও বানাইবার কি দরকার আছিল?,video banaibar ki dorkar achilo? ,Chittagong,What was the need to make the video?
আমার তো মনে হয় মেয়েদের একাধিক ডেট করা উচিত,amar to mone hoy meyeder ekadhik date kora uchit,আর তো মনে হদ্দে বেডি ওক্কলের বউত ডেট গরা উচিত,ar to mone hodde bedi okkler bout date gora uchit,Chittagong,I think girls should have multiple dates
এমন করতেসে কেন বসে বসে?,emon kortese ken bose bose?,এরিম্মা্মা কিল্লাইয় গরের দ্দে বইয়েরে,erimmama killaiyo gorer dde boiyere,Chittagong,Why do you sit down?
তিনি হিসেব মেলাতে পারছেন না,tini hisheb melate parchen na,ইতে হিসাব মিল্লাইতো নো ফারের,ite hisab millaito no farer,Chittagong,He is unable to calculate
এ কী করে সম্ভব,e ki kore somvob,ইবা কেরিম্মা গরি সম্ভব,iba kerimma gori somvob,Chittagong,How is this possible?
তুমি ঘুম থেকে উঠে আমাকে কল দিও,tumi ghum theke uthe amake call dio,তুই ঘুমোত তুন উঠিয়ের কল  দিতোক,tui ghumot tun uthiyer call  ditok,Chittagong,You wake up and call me
তুমি এত ঘুমায় কেন ?,tumi eto ghumaw keno ?,তুই সুদানির ফুয়া এত ঘুমোদ্দে কিল্লায়,tui sudanir fuya eto ghumodde killay,Chittagong,Why do you sleep so much?
তোমার এত ঘুম আসে কেন ?,tomar eto ghum ase keno ?,তুয়ার এতো ঘুম কিল্লায় আয়েদ্দে,tuyar eto ghum killay ayedde,Chittagong,Why are you so sleepy?
তোমার সাথে আমার জরুরি কথা আছে,tomar sathe amar joruri kotha ache,তুয়ার লয় আর জরুরি হতা আছে,tuyar loy ar joruri hota ache,Chittagong,I have something important to say to you
একটা স্বাভাবিক মানুষ এত ঘুমায় না,ekta sabavabik manush eto ghumay na,এইজ্ঞ স্বাভাবিক মানুষ এত হেনে গুমায়,eiggo savabik manush eto hene gumay,Chittagong,A normal person does not sleep that much
আমার সকালে উঠেই চা খাওয়ার অভ্যাস,amar sokale uthei cha khaoyar ovvas,আর সকালোত উঠিয়েরে চা খাইবার অব্যাস,ar sokalot uthiyere cha khaibar obbas,Chittagong,I have a habit of drinking tea in the morning
আমার সন্ধায় কফি খাওয়ার অভ্যাস আছে,amar sondhay coffee khaoyar ovvas ache,আর সন্ধায় কফি খাইবার অব্যাস আছে ,ar sondhay coffee khaibar obbas ache,Chittagong,I have a habit of drinking coffee in the evening
তুমি দুপুরে কি দিয়ে ভাত খেয়েছ ?,tumi dupure ki diye vat kheyecho ?,তুই  দুইজ্জা  ভাত হাইয়ো নে?,tui duijja  vat haiyo ne?,Chittagong,What did you eat rice with in the afternoon?
তুমি কি রাতের বেলা বাহিরে বের হবে ?,tumi ki rater bela bahire ber hobe ?,তুই  কি রাতিয়াত বাইর হইবা নে ?,tui ki ratiyat bair hoiba ne ?,Chittagong,Do you go out at night?
আপনার সব থেকে কাছে মানুষটি কে ?,apnar shob theke kacher manushti ke ?,ওনোর  বেজ্ঞুনের  হাছে মানুষ হোন্না?,onor  begguner  hache manush honna?,Chittagong,Who is the person closest to you?
আপনার সাথে কথা বলতে অনেক ভালো লাগে আমার,apnar sathe kotha bolte onek valo lage amar,ওনোর লয় হথা খইতো বেশি গম লাগে,onor loy hotha khoito beshi gom lage,Chittagong,I like talking to you very much
আমার অনেক খারাপ লাগছে,amar onek kharap lagche,য়ার বেশি হারাপ লাগের,yar beshi harap lager,Chittagong,I feel very bad
আমার মনে হয় যে আমি কিছুই মনে রাখতে পারছি না,amar mone hoy je ami kichui mone rakhte parchi na,আর মনে হদ্দে আর কিছু মনোত নাই,ar mone hodde ar kichu monot nai,Chittagong,I feel like I can't remember anything
আমার ছোটো বোন নানার বাড়ীতে ঘুরতে গিয়েছে,amar choto bon nanar barite ghurte giyeche, আর ছুড বইনোর নানার বাড়িত গুইত্তে গিয়ে,ar chudo boinor nanar barit guitte giye,Chittagong,My younger sister went to visit Nana's house
সে পরের মাসে বিদেশ চলে যাবে,se porer mase bidesh chole jabe,ইতে ফরের মাসোত বিদেশ যাইবো গয়,ite forer mashot bidesh jaibo goy,Chittagong,He will go abroad next month
মেয়েটি খুবই বেয়াদপ,meyeti khubi beyadop, বেডি ইবা বেশি বিয়াদব,bedi iba beshi biyadob,Chittagong,The girl is very naughty
মেয়েটি সারাক্ষন মিথ্যে কথা বলে,meyeti sarakhon mithe kotha bole,মাইয়া ইবা সারাক্ষন মিথ্যা হতা খো,maiya iba sarakhon mittha hota kho,Chittagong,The girl lies all the time
ছেলেটি রাস্তা দিয়ে হেঁটে যাচ্ছে,cheleti rasta diye hete jacche,ফুয়া ইবা রাস্তা দিয়েরে হাঠি যার গয়,fuya iba rasta diyere hathi jar goy,Chittagong,The boy is walking along the road
একটি বিড়াল দরজার সামনে বসে আছে,ekti biral dorjar samne bose ache,এইজ্ঞো বিড়াল দরজাত বোই আছে,eiggo biral dorjat boi ache,Chittagong,A cat is sitting in front of the door
একটি কুকুর রাস্তায় বসে আছে,ekti kukur rastay bose ache,এইজ্ঞো কুত্তা রাস্তাত  বোই আছে,eiggo kutta rastat  boi ache,Chittagong,A dog is sitting on the road
একটি সাদা রঙের পাখি আকাশে উড়ছে,ekti sada ronger pakhi akashe urche,এইজ্ঞো সাদা ফাখি উড়ের',eiggoo sada fakhi urer,Chittagong,A white bird is flying in the sky
অল্পবয়সী একটি ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,olpo boyoshi ekti chele baire footpathe douracche,অল্পবয়সী এইজ্ঞো ফুয়া ফুটপাতোত দুরার,olpoboyoshi eiggoo fuya futpatot durar,Chittagong,A young boy runs outside on the sidewalk
আমি কাজে যেতে চাই না,ami kaje jete chai na,আই কাজোত যাইতো নো চাই,ai kajot jaito no chai,Chittagong,I don't want to go to work
আপনি এই কলমটি নিন,apni ei kolomti nin,কলম ইবা লো,kolom iba lo,Chittagong,You take this pen
আমাকে সত্যি কথা বলুন,amake sotti kotha bolun,আরে হাছা হতা হইদো,are hacha hota hoido,Chittagong,tell me the truth
তুমি ঘুম থেকে তাড়াতাড়ি উঠে যাও,tumi ghum theke taratari uthe jao,তুই গুমের তুন জলদি উঠ,tui gumer tun joldi uth,Chittagong,You wake up early
আপনি ঘুম থেকে উঠতে চান না,apni ghum theke uthte can na,ওনে ঘুমত তুন উইঠো নো চও,one ghumot tun uitho no chow,Chittagong,You don't want to wake up
আমি সকালে নাস্তা করে স্কুলে যাই,ami sokale nasta kore school e jai,য়াই সকালোত নাস্তা হরিয়ের স্কুলোত যাই,yai sokalot nasta horiyer schoolot jai,Chittagong,I have breakfast in the morning and go to school
আমার সকালে কিছু খেতে  ভালো লাগে না,amar sokale kichu khete  valo lage na,আরে সকালোত হিছু খাইত গম নো লাগে,are sokalot hichu khait gom no lage,Chittagong,I don't like to eat anything in the morning
আমরা হেরে গেছি,amra here gechi,আই আরি গিয়ি,ai ari giyi,Chittagong,We lost
আমরা হেরে গেছিলাম,amra here gechilam,আরা হারি গিয়ি,ara hari giyi,Chittagong,We lost
আমটি কে খেয়েছিল?,aamti ke kheyechilo?,আম ইবা হন হাইয়ে,aam iba hon haiye,Chittagong,Who ate the mango?
আমি হারিয়ে গেছি,ami hariye gechi,আই হারি গিয়ি,ai hari giyi,Chittagong,I'm lost
আমি ঠিক আছি,ami thik achi,আই টিক আছি,ai tik achi,Chittagong,I'm fine
আমাকে বিশ্বাস করো,amake bisshas koro,আরে বিশ্বাস গরো,are bisshas goro,Chittagong,Trust me
আমার প্রশ্নের জবাব দিন,amar proshner jobab din,আর প্রশ্নত জবাব দো,ar proshnot jobab do,Chittagong,Answer my question
আমি তাকে দখতে পেলাম,ami take dekhte pelam,আই ইতাারে দেক্কি,ai itaare dekki,Chittagong,I saw him
আমাকে ঢুকতে দিন,amake dhukte din,আরে ডুইক্তে দও,are duikte do,Chittagong,Let me in
আমাকে যেতে দাও,amake jete dao,আরে যাইতে দও,are jaite do,Chittagong,Let me go
এখানে অপেক্ষা করুন,ekhane opekkha korun,ইরে অপেক্ষা গরো,ire opekkha goro,Chittagong,Wait here
আমি অসুস্থ হয়ে পরেছিলাম,ami osustho hoye porechilam,আই অসুস্থ অয় ফইজ্জি,ai osustho oy foijji,Chittagong,I fell ill
আমি ওদের দেখতে পেলাম,ami oder dekhte pelam,আই ইতারোরে দেইক্কি,ai itarore deikki,Chittagong,I saw them
সময় শেষ হয়ে গেছে,somoy shesh hoye geche,সময় শেষ অই গিয়োয়,somoy shesh oi giyoy,Chittagong,Time is up
আমরা অপেক্ষা করব,amra opekkha korbo,আরা অফেক্ষা কইজ্জুম,ara ofekkha koijjum,Chittagong,We will wait
তিনি উঠে দাঁড়ালেন,tini uthe daralen,এবা উঠি গিয়োয়,eba uthi giyoy,Chittagong,He stood up
আমি বেশি লম্বা,ami beshi lomba,আই বেশিি ডর,ai beshii dor,Chittagong,I'm taller
আমি ক্ষমা চাইছি,ami khoma chaichi,আই মাফ চাই,ai maf chai,Chittagong,I apologize
আমি ফিরে এলাম,ami fire elam,আই ফিরি আইসসি,ai firi aissi,Chittagong,I came back
আমি কেক পছন্দ করি,ami cake pochondo kori,আই কেক ফছন্দ গরি,ai cake fochondo gori,Chittagong,I like cake
একটু ঘুমিয়ে নাও,ektu ghumiye nao,এক্কানাা ঘুমাইইয়েরে লো,ekkanaa ghumaiiyere lo,Chittagong,Get some sleep
আমি একা ছিলাম,ami eka chilam,আই একা আছিলাম,ai eka achilam,Chittagong,I was alone
আমার সঙ্গে আসুন,amar songe ashun,আর লই আইয়ো,ar loi aiyo,Chittagong,Come with me
তিনি রেগে গেছিলেন,tini rege gechilen,ইবা রাগি গেল গয়,iba ragi gelo goy,Chittagong,He was angry
আমার হাতটা ধরুন,amar hat ta dhorun,আর হাত ইবা ধইজ্জো,ar hat iba dhoijjo,Chittagong,Take my hand
আমি অবাক হয়ে গেছিলাম,ami obak hoye gechilam,আই অবাক অয় গিয়িলাম,ai obak oy giyilam,Chittagong,I was surprised
আমি আসবো না,ami ashbo na,আই নো আইসসুম,ai no aissum,Chittagong,I won't come
আমি হারবো না,ami harbo na,আই নো হাইজ্জুম,ai no haijjum,Chittagong,I won't lose
আমার হাত ব্যাথা করছে,amar hat betha korche,আর আত টনটন গরের,ar at tonton gorer,Chittagong,My hand hurts
আমার পা ব্যাথা করছে,amar pa betha korche,আর ট্যাং টনটন গরের,ar tang tonton gorer,Chittagong,My feet hurt
আপনাকে কে পাঠিয়েছে?,apnake ke pathiyeche?,ওনরে হোন ফাডাইয়ে',onore hon fadaiye,Chittagong,Who sent you?
তোমাকে দেখে অসুস্থ বলে মনে হচ্ছে,tomake dekhe osustho bole mone hocche,তুয়ারে দেহিয়েরে অসুক্কা বলি মনে ওর,tuyare dehiyere osukka boli mone or,Chittagong,You look sick
আপনারা আগে যান,apnara age jan,ওনোরা আগে জো,onora age jo,Chittagong,You go first
আমাকে ডাকবেন না,amake dakben na,আরে নো ডাইক্কো,are no daikko,Chittagong,Don't call me
আমার হলুদ রঙ পছন্দ,amar holud rong pochondo,আর হলুদ রং দেহিত ফারি,ar holud rong dehit fari,Chittagong,I like yellow color
আমি আপেল পছন্দ করি,ami apple pochondo kori,আই আফেল দেহিত ফারি,ai afel dehit fari,Chittagong,I like apples
আমার ঠান্ডা লেগেছে,amar thanda legeche,আর  তুন টান্ডা লাইজ্ঞে,ar  tun tanda laigge,Chittagong,I have a cold
আমার খিদে পাচ্ছে,amar khide pacche,আর তুন খুদা লাগের,ar tun khuda lager,Chittagong,I'm getting hungry
আমি বিদেশে গেছিলাম,ami bideshe gechilam,আই  বিদেশত গেইলাম,ai  bideshot geilam,Chittagong,I went abroad
আমি ভেতরে গেলাম,ami vetore gelam,আই বিতরত গেইলাম,ai bitorot geilam,Chittagong,I went inside
সে রেগে গেছিলো,se rege gechilo,ইতে গুসসা ওয়িল,ite gussa oyil,Chittagong,He was angry
আমাকে ওখানে নিয়ে চলুন,amake okhane niye cholun,আরে ঐইন্দি লই জো,are oiindi loi jo,Chittagong,Take me there
সে আমার স্ত্রী,se amar stri,ইবা আর বউ,iba ar bou,Chittagong,she is my wife
আপনাকে দেখে অসুস্থ বলে মনে হচ্ছে,apnake dekhe osustho bole mone hocche,আরে দেহিয়েরে অসুখ বলি মনে অর,are dehiyere osukh boli mone or,Chittagong,You look sick
আমাদের বিয়ের পর থেকেই নানা ছোটখাটো কারনে ঝগড়া লেগে থাকতো,amader biyer por thekei nana chotokhato karone jhogra lege thakto,আরোর বিয়ার ফর তুন নানা ছুডো ছুডো খারনোত ঝগড়া লাগি থাকিতো,aror biyar for tun nana chudo chudo kharnot jhogra lagi thakito,Chittagong,"Ever since we got married, we used to quarrel for various small reasons"
আমি বুঝতে পারতাম তার অন্য কোথাও সম্পর্কে আছে,ami bujhte partam tar onno kothao somporke ache,আই বুঝিত ফাইত্তাম ইতার অন্য জায়গাত সম্পর্ক আইসসে,ai bujhit faittam itar onno jaygat somporko aisse,Chittagong,I could understand her having a relationship elsewhere
সে কোন দিন স্বীকার করে না,se kono din sikar kore na,ইতে হোনো দিন স্বীকার নো গরে,ite hono din shikar no gore,Chittagong,He never admits
এভাবে নানা রকম ঝামেলা হতে থাকে,evabe nana rokom jhamela hote thake,এরিম্মা নানা রহম ঝামেলা হইত থাকে,erimma nana rohom jhamela hoite thake,Chittagong,In this way various kinds of trouble started
আমাদের পারিবারিক ভাবে বিয়ে হয়,amader paribarik vabe biye hoy,আরোর ফারিবারিক ভাবে বিয়া ওইল,aror faribarik vabe biya oilo,Chittagong,We got married as a family
যখন বাড়ীতে জানাই তখন নানা রকম কথা হয়,jokhon barite janai tokhon nana rokom kotha hoy,যেত্তে বাড়ীত জানাই এত্তে বয়োত ডইল্লা হতা অয়,jette barit janai ette boyot doilla hota oy,Chittagong,"When I tell at home, there are various things"
বেশ কয়েক বার তাকে সু্যোগ দেয়া হয়,besh koyek bar take sujog deya hoy,বেশ হয়েব্বার ইতারে সুযোগ দিলাম,besh hoyebbar itare sujog dilam,Chittagong,He was given the opportunity several times
কিন্তু সে ভালো হয়না,kintu se valo hoyna,কিন্ত্য ইতে বালা নো অয়,kintto ite bala no oy,Chittagong,But he is not well
অনেক দিন বাবার বাসায় ছিলাম,onek din babar basay chilam,বওত দিন বাফোর বাসাত আছিলাম,bout din bafor basat achilam,Chittagong,I was at my father's house for many days
"তোমাকে ছাড়া বাচবো, তোমার বিয়েতেও নাচবো","tomake chara bachbo, tomar biyeteo nacbo","তুয়ারে ছাড়া বাইচ্চুম, তুয়ার বিয়াতো নাইচ্চুম","tuyare chara baicchum, tuyar biyato naicchum",Chittagong,"I will live without you, I will dance at your wedding"
সে তখন আবারো ফিরে চায় আমাকে,se tokhon abaro fire chay amake,ইতি আবার ফিরি চার আরে,iti abar firi char are,Chittagong,He then wants me back again
এক পর্যায়ে এমন অবস্থা করে মে আমিও দূবল হয়ে যাই,ek porjaye emon obostha kore je amio durbol hoye jai,এক ফর্যায়ে এন অবস্তা গরে যে আইও দুর্বল অয় যাই,ek forjaye en obosta gore je aio durbol oy jai,Chittagong,At some point I became weak due to such a situation
কিছু দিন সে ভালো থাকে,kichu din se valo thake,কিছু দিন ইতে বালা তাকে,kichu din ite bala take,Chittagong,Some days he is fine
তারপর একের পর এক অশান্তি বাড়তে থাকে,tarpor eker por ek oshanti barte thake,তারফর একের ফর এক অশান্তি বাড়াত তাকে,tarfor eker for ek oshanti barat take,Chittagong,Then one after another the disturbance started to increase
সে যার সাথে সম্পর্কে জড়িয়ে তাকে বিয়ে করবে না বলে কিন্তু সম্পর্ক রাখবে,se jar sathe somporke joriye take biye korbe na bole kintu somporko rakhbe,ইতে যার লয় সম্পর্ক জড়াইয়ে তারে বিয়া নো গরিভো মাগার সম্পর্ক রাহিবো,ite jar loy somporko joraiye tare biya no gorivo magar somporko rahibo,Chittagong,He says that he will not marry the person with whom he is in a relationship but will have a relationship
সে শুধু আমাকে খাবার টুকু ঠিক মত দেয় যেন কাউকে বলতে না পারি,se shudhu amake khabar tuku thik moto dey jeno kauke bolte na pari,ইতেে শুধু আরে হাবার টিক মত দে যিবার লাই কেউ হিছু কইত নো ফারে,itee shudhu are habar tik mot de jibar lai keu hichu koito no fare,Chittagong,He just gives me the food so that I can't tell anyone
আমার তো একটা হাত খরচ লাগে তাও সে দেয়না,amar to ekta hat khoroc lage tao se deyna,আর তো অজ্ঞ  হাত হরচ লাগে ইবাও ইতে নো দে,ar to oggo  hat horoch lage ibao ite no de,Chittagong,He doesn't even pay me a hand
বাবা হিসেবে ছেলেকে ভালবাসে অনেক,baba hisebe cheleke valobase onek,বাবা হিসেবে ফুয়ারে বোত বালোবাসে ,baba hisebe fuyare bot balobase,Chittagong,"As a father, he loves his son a lot"
চুপ ছিলাম বুঝাইছি অনেক লাভ হয়নি,chup chilam bujhaichi onek lav hoyni,নো মাতি আছিলাম বুঝাইয়ি অনেক লাভ নো হো ,no mati achilam bujhaiyi onek lav no ho,Chittagong,"I was silent, but it was not much use"
এক পর্যায়ে আবারো বাড়িতে জানানো হয়,ek porjaye abaro barite janano hoy,এক ফর্যায়ে আবারো বাড়িত জানানো অইয়ে,ek forjaye abaro barit janano oiye,Chittagong,At one point it was reported to the house again
তখন সে অনেক খারাপ আচরন করে,tokhon se onek kharap acoron kore,তথন ইতে অনেক খারাপ আচরন কইজ্জে,tothon ite onek kharap achoron koijje,Chittagong,Then he behaves very badly
সে আমার পরিবারের কাউকে সম্মান করেনা,se amar poribarer kauke somman korena,ইতে আর ফরিবারোর কাওরে সম্মান নো গরে,ite ar foribaror kaore somman no gore,Chittagong,He doesn't respect anyone in my family
"সে কারো কথা বলেনা ,কারো বাসায় যায়না","se karo kotha bolena ,karo basay jayna","ইতে হারোর হতা নো খো, হারোর বাসাত নো যা","ite haror hota no kho, haror basat no ja",Chittagong,"He does not talk to anyone, does not go to anyone's house"
এমন কি আমার বাবা মা সামনে আসলে সালাম পর্যন্ত দেয়না,emon ki amar baba ma samne asle salam porjonto deyna,এরিম্মা কি আর বাবা মা সামনে আসলে সালাম পর্যন্ত নো দে,erimma ki ar baba ma samne asle salam porjonto no de,Chittagong,Even my parents don't even say hello when they come in front of me
সে তাদের সাথে সম্পর্ক রাখবো না,se tader sathe somporko rakhbe na,ইতে তারোর লয়  সম্পর্ক নো রাখিবো,ite taror loy  somporko no rakhibo,Chittagong,He will not associate with them
আমি তখন বলি কেন কি হইছে ?,ami tokhon boli ken ki hoiche ?,আই তহন বলি কেন কি হইয়ে,ai tohon boli ken ki hoiye,Chittagong,I then say why what happened?
তারা আমাকে অনেক অপমান করছে,tara amake onek opoman korche,ইতারা আরে অনেক অফমান কইজ্জে,itara are onek ofoman koijje,Chittagong,They insult me a lot
আপনারা বলেন সে পরকিয়া করবে বউ কে মারবে আর বাবা মা চুপ থাকবে?,apnara bolen se porokiya korbe bou ke marbe ar baba ma cup thakbe?,ওনওরা হোন ইতে  ফরোকিয়া গরিবো বঊ রে মারিব আর মা বাপ চুপ থাহিবো নে?,onora hon ite  forokiya goribo bou re maribo ar ma bap chup thahibo ne?,Chittagong,You say he will commit adultery and beat his wife and parents will remain silent???
আমার কোন ভাই নেই আমি বড় মেয়ে,amar kono vai nei ami boro meye,"আর হোনো বাই নেই ,আই ডোর মাইয়া","ar hono bai nei ,ai dor maiya",Chittagong,"I have no brother, I am the eldest daughter"
আমাদের মধ্যেবিও পরিবার,amader moddhobitto poribar,আর মদ্যবিত্ত ফরিবার,ar moddobitto foribar,Chittagong,We are also family
এসব কিছু কাউকে বলে কোন সমাধান নাই,esob kichu kauke bole kono somadhan nai,এসব হিছু কেউরে  হই হোনো সমাদান নাই,esob hichu keure  hoi hono somadan nai,Chittagong,There is no solution to say these things to anyone
তারা বলে আমরা আমাদের বউ কে কত মারি কোন দিন মুখ দিয়ে কথা বের করে না,tara bole amra amader bou ke koto mari kon din mukh diye kotha ber kore na,ইতারাা বলে আরা আরোর বউ রে হত মারি হোনো দিন মুখ দি হতা বের নো গরে,itaraa bole ara aror bou re hot mari hono din mukh di hota ber no gore,Chittagong,"They say how much we beat our wives, they never speak out"
আমার শাশুড়িও নেই মারা গেছে অনেক আগে,amar shashurio nei mara geche onek age,আর ওরিও নেই মরি গিয়োয় বউত আগোত ,ar orio nei mori giyoy bout agot,Chittagong,My mother-in-law also died a long time ago
আমরা বিয়ের পর থেকেই আলাদা থাকি,amra biyer por thekei alada thaki,আরা বিয়ার ফর তুন আলাদা তাহি,ara biyar for tun alada tahi,Chittagong,We have been separated since marriage
শশুরবাড়ি আমার স্বামীর কিছু নেই কারণ তার মা নাই,shoshurbari amar samir kichu nei karon tar ma nai,ওরবাড়িত আর জামাইয়োর হিছু নাই হারন ইতার মা নাই,orbarit ar jamaiyor hichu nai haron itar ma nai,Chittagong,In-laws My husband has nothing because he has no mother
তার বাবা বিয়ে করেছে সেখানে বছরে একবার যাওয়া হয়,tar baba biye koreche sekhane bochore ekbar jaoya hoy,ইবার বাপ বিয়া কইজ্জে এরে বছরোত একবার যাওয়া অয়,ibar bap biya koijje ere bochrot ekbar jaoya oy,Chittagong,His father got married and went there once a year
আমি তোমাকে খাবার দেই,ami tomake khabar dei,আই তুয়ারে হানা দিয়ির,ai tuyare hana diyir,Chittagong,I give you food
আপনারা বলেন যে স্বামী ভালোবেসে কথা বলেনা,apnara bolen je sami valobeshe kotha bolena,ওনেরা হোন যে জামাই বালোবাসিয়েরে হতা নো হো,onera hon je jamai balobasiyere hota no ho,Chittagong,You say that the husband does not speak in love
