bangla_speech ,banglish_speech ,sylhet_bangla_speech ,sylhet_banglish_speech ,region_name ,english_speech
সে শুধু আমাকে খাবার টুকু ঠিক মত দেয় যেন কাউকে বলতে না পারি,se shudhu amake khabar tuku thik moto dey jeno kauke bolte na pari,হে খালি মোরে খানিটা ঠিক মতে দেয় যাতে খেউরে কইতাম না ফারি ,he khali more khanita thik mote dey jate kheure koitam na fari,Sylhet,He just gives me the food so that I can't tell anyone
আমার তো একটা হাত খরচ লাগে তাও সে দেয়না,amar to ekta hat khoroc lage tao se deyna, আমার তো এখান হাত খরচা লাগে তাও হে দেয় না ,amar to ekhan hat khorcha lage tao he dey na,Sylhet,He doesn't even pay me a hand
বাবা হিসেবে ছেলেকে ভালবাসে অনেক,baba hisebe cheleke valobase onek,বাফ হিসাবে ফুয়ারে ভালাপায় অনেখ। ,baf hisabe fuyare valapay onekh.,Sylhet,"As a father, he loves his son a lot"
চুপ ছিলাম বুঝাইছি অনেক লাভ হয়নি,chup chilam bujhaichi onek lav hoyni,চুুফ আছলাম বুঝাইছি বাক্কা লাভ অইছে না ,chuf achlam bujhaichi bakka lav oiche na,Sylhet,"I was silent, but it was not much use"
এক পর্যায়ে আবারো বাড়িতে জানানো হয়,ek porjaye abaro barite janano hoy,এখ পর্যায়ে আরখবার বাড়িত জানানি অইছিল,ekh porjaye arokhbar barit janani oichilo,Sylhet,At one point it was reported to the house again
তখন সে অনেক খারাপ আচরন করে,tokhon se onek kharap acoron kore,হেব্‌লা হে অনেখ বাদ আচরণ করছিল,heb‌la he onekh bad acoron korchilo,Sylhet,Then he behaves very badly
সে আমার পরিবারের কাউকে সম্মান করেনা,se amar poribarer kauke somman korena,হে মোর পরিবারর খেউরে সম্মান খরে না ,he mor poribaror kheure somman khore na,Sylhet,He doesn't respect anyone in my family
"সে কারো কথা বলেনা ,কারো বাসায় যায়না","se karo kotha bolena ,karo basay jayna","হে  খারো মাত মাতে না, খারো বাসাত যায় না ","he  kharo mat mate na, kharo basat jay na",Sylhet,"He does not talk to anyone, does not go to anyone's house"
এমন কি আমার বাবা মা সামনে আসলে সালাম পর্যন্ত দেয়না,emon ki amar baba ma samne asle salam porjonto deyna,এমন কি মোর আব্বা আম্মা সামনে আইলে সালাম পর্যন্ত দেয় না,emon ki mor abba amma samne aile salam porjonto dey na,Sylhet,Even my parents don't even say hello when they come in front of me
সে তাদের সাথে সম্পর্ক রাখবো না,se tader sathe somporko rakhbe na,হে তারার লগে সম্পর্ক রাখতো নায় ,he tarar loge somporko rakhto nay,Sylhet,He will not associate with them
আমি তখন বলি কেন কি হইছে ?,ami tokhon boli ken ki hoiche ?,মুই হেসময় জিকাইলাম খেনে কিতা অইছে? ,mui hesomoy jikailam khene kita oiche?,Sylhet,I then say why what happened?
তারা আমাকে অনেক অপমান করছে,tara amake onek opoman korche,তারা মোরে অনেখ অপমান করছিলা,tara more onekh opoman korchila.,Sylhet,They insult me a lot
আপনারা বলেন সে পরকিয়া করবে বউ কে মারবে আর বাবা মা চুপ থাকবে?,apnara bolen se porokiya korbe bou ke marbe ar baba ma cup thakbe?,আফনারা খইন হে পরকীয়া খরবো বউরে মারবো আর বাফ মা চুফ থাখবা?,afnara khoin he porokiya khorbo boure marbo ar baf ma chuf thakhba?,Sylhet,You say he will commit adultery and beat his wife and parents will remain silent???
আমার কোন ভাই নেই আমি বড় মেয়ে,amar kono vai nei ami boro meye,মোর  কুনো ভাই নাই মুই বড় ফুড়ি ,mor  kuno vai nai mui boro furi,Sylhet,"I have no brother, I am the eldest daughter"
আমাদের মধ্যেবিও পরিবার,amader moddhobitto poribar,আমরার মধ্যবিত্ত পরিবার,amrar moddhobitto poribar.,Sylhet,We are also family
এসব কিছু কাউকে বলে কোন সমাধান নাই,esob kichu kauke bole kono somadhan nai,ইতা খেউরে কইয়া কুনো সমাধান নাই ,ita kheure kiya kuno somadhan nai,Sylhet,There is no solution to say these things to anyone
তারা বলে আমরা আমাদের বউ কে কত মারি কোন দিন মুখ দিয়ে কথা বের করে না,tara bole amra amader bou ke koto mari kon din mukh diye kotha ber kore na,তারা খইন আমরা আমরার বউ অখলরে খতো মারি কুনো দিন মুখ দিয়া মাত বারয় না,tara khoin amra amrar bou okholre khoto mari kuno din mukh diya mat baroy na.,Sylhet,"They say how much we beat our wives, they never speak out"
আমার শাশুড়িও নেই মারা গেছে অনেক আগে,amar shashurio nei mara geche onek age,আমার হড়িও নাই মারা গেছইন বাক্কা আগে,amar horio nai mara gechin bakka age,Sylhet,My mother-in-law also died a long time ago
আমরা বিয়ের পর থেকেই আলাদা থাকি,amra biyer por thekei alada thaki,আমরা  বিয়ার পর তনে অউ আলেদা থাখি,amra  biyar por tone ou aleda thakhi.,Sylhet,We have been separated since marriage
শশুরবাড়ি আমার স্বামীর কিছু নেই কারণ তার মা নাই,shoshurbari amar samir kichu nei karon tar ma nai,হৌরবাড়ি মোর জামাইর কুনতা নাই কারণ তার মা নাই ,hourbari mor jamair kunta nai karon tar ma nai,Sylhet,In-laws My husband has nothing because he has no mother
তার বাবা বিয়ে করেছে সেখানে বছরে একবার যাওয়া হয়,tar baba biye koreche sekhane bochore ekbar jaoya hoy,তার বাফ বিয়া করছইন হনো বছ্‌রে এখবার যাওয়া অয়। ,tar baf biya korchoin hono boch‌ore ekhbar jaoya oy,Sylhet,His father got married and went there once a year
আমি তোমাকে খাবার দেই,ami tomake khabar dei,মুই তুমারে খানি দেই ,mui tumare khani dei,Sylhet,I give you food
আপনারা বলেন যে স্বামী ভালোবেসে কথা বলেনা,apnara bolen je sami valobeshe kotha bolena,আফনারা খইন যে জামাই ভালোবাসিয়া মাতে না ,afnara khoin je jamai valobasiya mate na,Sylhet,You say that the husband does not speak in love
এসব সমস্যার সমাধান কোথায় পাবো,esob somossar somadhan kothay pabo,অতা সমস্যার সমাধান খই পাইমু,ota somossar somadhan khoi paimu,Sylhet,Where can I find solutions to these problems?
আমি অনেক চেষ্টা করেছি যে আমার কোন ভুল আছে কিনা,ami onek cheshta korechi je amar kono vul ache kina,মুই বাক্কা চেষ্টা করছি যে মোর কুচ্চু ভুল আছে নাকিতা ,mui bakka cheshta korchi je mor kuccu vul ache nakita,Sylhet,I've tried a lot to see if I'm doing something wrong
সে সবাই কে বলে আমি তো ওর সাথেই সংসার করি,she shobai ke bole ami to or sathei songsar kori,হে হখলরে কয় মুই তার লগে সংসার খরি ,he hokholre koy mui tar loge songsar khori,Sylhet,He tells everyone that I live with him
এমন না যে আমি দেখতে অসুন্দর,emon na je ami dekhte oshundor,অলান নায় যে আমি দেখতে বাদ ,olan nay je ami dekhte bad,Sylhet,Not that I'm ugly
যে কেউ আমাকে এক দেখা তে পছন্দ করবে,je keu amake ek dekha te pochondo korbe,যেছা খেউ আমারে এখ দেখাত পছন্দ খরবা,jecha kheu amare ekh dekhat pochondo khorba.,Sylhet,Anyone would love to meet me
কোন উপায় পাইনা কি করব,kon upaina paina ki korbo,কুনো উফায় ফাইনা কিতা খরতাম,kuno ufay faina kita khortam,Sylhet,I have no way what to do
শুধু ছেলের মুখের দিকে তাকিয়ে চুপ করে আছি,shudhu cheler mukher dike takiye chup kore achi,খালি ফুয়াটার মুকর বায় চাইয়া চুফ মারি আছি,khali fuyatar mukor bay chaiya chuf mari achi,Sylhet,Just looking at my son's face I am silent
কিন্তু আমি বেঁচে থেকে মরে আছি,kintu ami beche theke more achi,কিন্তু আমি বাছিয়া থাকিয়াও মরিয়া আছি ,kintu ami bachiya thakiyao moriya achi,Sylhet,But I live and die
আমি আমার স্বামীর ভালবাসা চাই,ami amar samir valobasha chai,মুই  মোর জামাইর ভালোবাসা চাই ,mui  mor jamair valobasa chai,Sylhet,I want my husband's love
আমার পরিবারের সবার সাথে ও কথা বলুক এটা চাই,amar poribarer sobar sathe o kotha boluk eta chai,মোর পরিবারর হখলর লগে হে মাতউক অখটা চাই ,mor poribaror hokholor loge he matuk okhta chai,Sylhet,I want it to talk to all my family
আমার বাবা মা অনেক বার মাফ চাইছে,amar baba ma onek bar maf caiche,মোর আব্বা আম্মা অনেখ বার মাফ চাইছিল,mor abba amma onekh bar maf caichilo,Sylhet,My parents are asking for forgiveness many times
যা হইছে হয়ে গেছে তোমার কথাই মানলাম আমাদের দোষ ,ja hoiche hoye geche tomar kothai manlam amader dosh,যেতা অউয়ার অই গেছে তুমার খতাউ মানলাম আমরার দুষ,jeta ouyar oi geche tumar khotau manlam amrar dush,Sylhet,Whatever happened is our fault
আমি চাইলেই আমার বাবার বাসায় চলে যেতে পারি,ami chailei amar babar basay chole jete pari,মুই চাইলেউ মোর বাফর বাসাত যাইতাম গি ফারি ,mui chaileu mor bafor basat jaitam gi fari,Sylhet,I can go to my father's house whenever I want
সমাজের মানুষ নানান কথা বলবে,somajer manush nanan kotha bolbe,সমাজর মানুষ নানান মাত মাতবা,somajor manush nanan mat matba,Sylhet,People in society will say different things
আমার বাবা অসুস্থ হয়ে যাবে,amar baba oshustho hoye jabe,মোর আব্বা বেমার অই যাইবা,mor abba bemar oi jaiba,Sylhet,My father will fall ill
সে এখন নিজে মুখেই বলে তোমার সাথে আবার ও সব ঠিক করছি,se ekhon nije mukhei bole tomar sathe abar o shob thik korchi,হে এখন নিজোর মুখেউ কয় তুমার লগে আরখবার হখলতা ঠিক করিয়ার ,he ekhon nijor mukheu koy tumar loge arokhbar hokholta thik koriyar,Sylhet,He now says in his own mouth that he is fixing everything with you again
অন্য কোথাও বিয়ে করে ভালো থাকবা তা কীভাবে হয়,onno kothao biye kore valo thakba ta kivabe hoy,আরখ জাগাত বিয়া খরিয়া ভালা থাখবায় ইতা কিলা অয় ,arokh jagat biya khoriya vala thakhbay ita kila oy,Sylhet,How about getting married somewhere else?
সে বাহিরে যা ইচ্ছা করবে বউ হিসাবে আমাকে রাখবে,se bahire ja iccha korbe bou hishabe amake rakhbe,হে  বারে যা ইচ্ছা খরবো বউ হিসাবে মোরে রাখবো,he  bare ja iccha khorbo bou hisabe more rakhbo,Sylhet,He will keep me as wife whatever he wants outside
এদিকে আমার পরিবারের সাথে সম্পর্ক রাখবে না ,edike amar poribarer sathe somporko rakhbe na,ইবায়দি আমার পরিবারর লগে সম্পর্ক রাখতো নায় ,ibaydi amar poribaror loge somporko rakhto nay,Sylhet,"Meanwhile, don't keep in touch with my family"
আমাকে অনেক মারত,amake onek marto,মোরে খুব পিটাইতো ,more khub pitaito,Sylhet,He beat me a lot
ছেলেটার ভবিষ্যতের কথা ভেবে চুপ করে আছি,cheletar vobisshoter kotha vebe chup kore achi,ফুয়াগুতার ভবিষ্যতর খতা ভাবিয়া চুফ মারি আছি,fuyagutar vobisshotor khota vabiya chuf mari achi,Sylhet,I am silent thinking about the boy's future
আমার বাবা মাও এটা নিয়ে অনেক কষ্ট পাচ্ছে,amar baba mao eta niye onek koshto pacche,মোর আব্বা আম্মাও ইকান লইয়া খুব খষ্ট পাইরা ,mor abba ammao ikan liya khub khoshto paira ,Sylhet,My parents are also suffering from it
আমি বড় মেয়ে আমার ছোট বোন আছে শুধু,ami boro meye amar choto bon ache shudhu,মুই বড় ফুড়ি আমার ছুটো বইন আছে খালি,mui boro furi amar chuto boin ache khali,Sylhet,I am the eldest daughter and I only have a younger sister
আপনার পরামর্শ দেন আমি কি করব,apnar poramorsho den ami ki korbo, আফনারা যুক্তি দেইন মুই কিতা খরতাম,afnara jukti dein mui kita khortam,Sylhet,What do you advise me to do?
দিন দিন মানসিক ভাবে অসুস্থ হয়ে যাচ্ছি,din din manoshik vabe oshustho hoye jacchi,দিন দিন মানসিক ভাবে বেমারি অই যাইয়ার,din din manosik vabe bemari oi jaiyar,Sylhet,I am getting mentally sick day by day
কোন কথা খারাপ লাগলে দয়া করে মাফ করবেন,kono kotha kharap lagle doya kore maf korben,কুনো মাত খারাফ পাইলে দয়া খরি মাফ খরি দিবা ,kuno mat kharaf paile doya khori maf khori diba,Sylhet,Please forgive me for any offense
আমি প্রেম করে বিয়ে করেছি,ami prem kore biye korechi,মুই  পেরেম খরি বিয়া করছিলাম,mui  perem khori biya korchilam,Sylhet,I married for love
আমি আমার স্বামীকে অনেক ভালোবাসি,ami amar sbamike onek valobashi, মুই  মোর জামাইরে অনেখ ভালাপাই ,mui  mor jamaire onekh valapai,Sylhet,I love my husband very much
আমার বয়স উনিশ বছর,amar boyosh unish bochor,মোর বয়স উন্নিশ বত্‌শর ,mor boyosh unnish bot‌shor ,Sylhet,I am nineteen years old
একজন মানুষ কি এমনি এমনি খারাপ হয় বলেন,ekjon manush ki emni emni kharap hoy bolen,এখজন মানুষ কিতা এমনে এমনে খারাফ অইন নি খইন,ekhjon manush kita emne emne kharaf oin ni khoin,Sylhet,Is a man so bad?
এমন কিছু করবো যাতে তার কাছে আমাকে না যেতে হয়,emon kichu korbo jate tar kache amake na jete hoy,অলান কিচ্ছু খরমু যাতে তার ধারে মোর যাওয়া না লাগে ,olan kicchu khormu jate tar dhare mor jaoya na lage,Sylhet,I will do something so that I don't have to go to him
আমি কার কাছে চাইবো?,ami kar kache chaibo?,মুই  কার ধারে চাইতাম? ,mui  kar dhare chaitam?,Sylhet,Who should I ask?
আপনি থানায় গিয়ে একটা মামলা করেন,apni thanay giye ekta mamla koren,আফনে থানাত গিয়া এখটা মামলা খরইন,afne thanat giya ekhta mamla khorin,Sylhet,You go to the police station and file a case
পুলিশকে সবকিছু প্রথম থেকে শেষ পর্যন্ত খুলে বলেন আপনার সাথে যা যা হয়েছে,police ke sobkichu prothom theke shesh porjonto khule bolen apnar sathe ja ja hoyeche,পুলিশরে হখলতা পয়লা থাকি হেষ পর্যন্ত খুলিয়া খইন আফনার লগে যা যা অইছে ,police re hokholta poyla thaki hesh porjonto khuliya khoin afnar loge ja ja oiche,Sylhet,Tell the police everything that happened to you from beginning to end
পুলিশকে এটাও বলেন যে আমি যদি আমার সমস্যার কোন সমাধান পাইনি,police ke etao bolen je ami jodi amar somoshar kono somadhan paini, পুলিশরে অটাও খইন যে মুই যদি মোর সমস্যার কুনো সমাধান পাই না তে,police re otao khoin je mui jodi mor somossar kuno somadhan pai na te,Sylhet,Also told the police that if I did not get any solution to my problem
আমি কিন্তু আত্মহত্যা করতে বাধ্য হব,ami kintu attohotta korte baddho hobo,মুই   কিন্তু আত্মহত্যা খরতে বাধ্য অইমু,mui kintu attohotta khorte baddho oimu,Sylhet,But I will be forced to commit suicide
এতে পুলিশের উপর চাপ আসবে,ete policer upor chap ashbe,তউ পুলিশর উফরে চাপ আইবো,tou police or ufre chap aibo,Sylhet,This will put pressure on the police
আপনার মা এবং স্বামী দুজনেই সতর্ক হবে আপনার প্রতি,apnar ma ebong sami dujonei sotorko hobe apnar proti, আফনার আম্মা আর জামাই দুইজনেউ সতর্ক অইবা আফনার প্রতি,afnar amma ar jamai duijoneu sotorko oiba afnar proti,Sylhet,Both your mother and husband will be wary of you
আপনি যদি পুলিশকে সবটা খুলে বলেন তাহলেই দেখবেন সমস্যার সমাধান হয়ে গেছে,apni jodi police ke shobta khule bolen taholei dekhben somossar somadhan hoye geche,আফনে যদি পুলিশরে হখলতা খুলিয়া খইন তে দেখবা সমস্যার সমাধান অই গেছে,afne jodi police re hokholta khuliya khoin te dekhba somossar somadhan oi geche,Sylhet,"If you tell everything to the police, you will see that the problem is solved"
আপনি একটা সাহায্য পাচ্ছেন পুলিশের কাছ থেকে,apni ekta sahajjo pacchen police er kach theke, আফনে এখটা সাহায্য পাইড়া পুলিশর ধার থাকি,afne ekhta sahajjo paira police or dhar thaki,Sylhet,You are getting help from the police
আমি বলব আপনি বিবাহবিচ্ছেদ পথ বেছে নেন,ami bolbo apni bibahobicched poth beche nen,মুই খইমু আফনে তালাকর পথ বাছিয়া লইন ,mui khoimu afne talakor path bachiya loin,Sylhet,I would say you choose the divorce route
নিজের মতন করে বাঁচুন,nijer moton kore bachun,নিজর মতো খরি বাচইন ,nijor moto khori bachoin,Sylhet,Live your way
দুই বেলা ডাল ভাত খেয়ে নিজের মত একা থাকা অনেক ভালো,dui bela dal vat kheye nijer moto eka thaka onek valo,দুইবেলা ডাইল ভাত খাইয়া নিজর মত এখলা থাকা অনেখ ভালা ,duibela dail vat khaiya nijor moto ekhla thaka onekh vala,Sylhet,It is better to be alone like yourself after two meals of dal bhat
যাই হোক মায়ের কাছে অনেক কিছু পাওয়ার থাকলেও আপনি তেমন কিছু পান নাই,jai hok mayer kache onek kichu paoyar thakleo apni temon kichu pan nai,যাই অউক মার থাকি বাক্কা কিছু পাওয়ার থাখলেও আফনে তেমন কিচ্ছু পাইছইন না,jai ouk mar thaki bakka kichu paoyar thakhleo afne temon kicchu paichoin na,Sylhet,"In any case, mother has got a lot but you haven't got much"
অন্যদিকে আপনার স্বামীও লোক হিসেবে ভাল না,onnodike apnar samio lok hisebe valo na,আরোখবায় আফনার জামাইও মানুষ হিসাবে ভালা নায়,arokhbay afnar jamaio manush hishabe vala nay,Sylhet,"On the other hand, your husband is also not good as a person"
আপনার দুই দিকেই জ্বালা হইছে,apnar dui dikei jala hoiche,আফনায় দুইবায় অউ জ্বালা অইছে ,afnay duibay ou jala oiche,Sylhet,You are burning on both sides
কিছু কিছু বিষয়ের কোন সমাধান থাকে না,kichu kichu bishoyer kono somadhan thake na,কিছুু কিছু বিষয়র কুনো সমাধান থাকে না,kichu kichu bishoyor kuno somadhan thake na ,Sylhet,Some things have no solution
অবশ্যই আপনি নিয়মিত নামাজ পড়ে আল্লাহর কাছে শান্তি প্রার্থনা করতে পারেন,obosshoi apni niyomito namaj pore allahor kache shanti prarthona korte paren,অবশ্যই আফনে নিয়মিত নামাজ পড়িয়া আল্লার টাইন শান্তি প্রার্থনা খরতা পারইন,obosshoi afne niyomito namaj poriya allar tain shanti prarthona khorta parin,Sylhet,Of course you can ask Allah for peace by praying regularly
নিজেকে যোগ্য করে গড়ে তুলতে পারেন,nijeke joggo kore gore tulte paren, নিজোরে যোগ্য খরি তুলতা পারইন,nijore joggo khori tulta parin,Sylhet,You can make yourself qualified
নিজেই নিজের জীবন পরিচালনা করতে পারেন,nijei nijer jibon porichalona korte paren, নিজেউ নিজর জীবন পরিচালনা খরতা পারইন,nijeu nijor jibon porichalna khorta parin,Sylhet,You can manage your own life
আপনার জন্য শুভকামনা রইল,apnar jonno shuvokamona roilo,আফনার  লাগি শুভ কামনা রইলো,afnar  lagi shuvo kamona roilo,Sylhet,Best wishes to you
আপনি নিজে কিছু করার চেষ্টা করেন যেন পরিবারের সাহায্য হয়,apni nije kichu korar cheshta koren jeno poribarer sahajjo hoy.,আফনে নিজে কিচ্ছু করার চেষ্টা খরইন যাতে পরিবারর হায় অয়,afne nije kicchu korar cheshta khorin jate poribaror hay oy,Sylhet,You try to do something yourself to help the family
সবাই একসাথে খারাপ হয় না,shobai eksathe kharap hoy na,হখলে এখলগে বাদ অইন  না,hokhole ekhloge bad oin  na,Sylhet,All are not bad together
"ওরা আপনাকে কিভাবে চায়, ওদের মতো হবার চেষ্টা করুন","ora apnake kivabe chay, oder moto hobar ceshta korun",তারা আফনারে কিলা চাইন তারার লাখান অওয়ার চেষ্টা খরইন,tara afnare kila chain tarar lakhan owyar cheshta khorin,Sylhet,"How they want you, try to be like them"
আশা করছি সব কিছু সমাধান হবে,asha korchi sob kichu somadhan hobe,আশা কররাম হখলতা সমাধান অইবো,asha korram hokholta somadhan oibo,Sylhet,Hope everything will be resolved
আমার বিয়ে হয়েছে ৯ বছর,amar biye hoyeche ৯ bochor,মোর বিয়া অইছে ৯ বত্‌শর ,mor biya oiche ৯ bot‌shor,Sylhet,I have been married for 9 years
প্রেম করে বিয়ে কিন্তু পারিবারিক ভাবেই হয়েছে,prem kore biye kintu paribarik vabei hoyeche,পেরেম খরি বিয়া কিন্তু পারিবারিক ভাবেউ অইছিল,perem khori biya kintu paribarik vabeu oichilo,Sylhet,Love marriage but in a family way
প্রথম থেকেই আমার শাশুড়ি আমাকে অনেক ভালবাসে,prothom thekei amar shashuri amake onek valobashe,পয়লা থাকি অউ মোর হড়ি মোরে খুব ভালাপাইন,poyla thaki ou mor hori more khub valapain,Sylhet,My mother in law loves me a lot from the beginning
ওনারা আমার স্বামীকে অশিক্ষিত মেয়ের সাথে বিয়ে দিতে চেয়েছিল,onara amar samike oshikkhito meyer sathe biye dite ceyechilo,তারা মোর জামাইরে অশিক্ষিত ফুড়ির লগে বিয়া দিতা চাইছলা,tara mor jamaire oshikkhit furir loge biya dita chaichola,Sylhet,They wanted to marry my husband to an illiterate girl
তাদের ঘরের কাজের মানুষ হিসেবে রাখতে চেয়েছিল,tader ghorer kajer manush hisebe rakhte cheyechilo,তারার ঘরর কামর মানুষ হিসাবে রাখতা চাইছলা,tarar ghoror kamor manush hishabe rakhta chaichola,Sylhet,Wanted to keep them as domestic workers
আমার স্বামী নিজ পছন্দে আমাকে বিয়ে করেছে,amar sami nij pochonde amake biye koreche,মোর জামাই নিজর পছন্দে মোরে বিয়া করছিলা,mor jamai nijor pochonde more biya korchila,Sylhet,My husband married me out of his own choice
গত ৯ বছরে একটানা ৯ দিনের জন্যও তারা আমার সাথে কথা বলেনি,goto ৯ bochre ektana ৯ diner jonnow tara amar sathe kotha boleni,গত ৯ বছ্‌রে এখটানা ৯ দিনর লাগিও তারা মোর লগে মাতছইন না,goto ৯ boch‌ore ekhtana ৯ dinor lagio tara mor loge matchoin na,Sylhet,They have not spoken to me for 9 consecutive days in the last 9 years
কোনো আত্মীয় আমার বাসায় এলে তাদের সাথেও সম্পর্ক নষ্ট করতো,kono attiyo amar basay ele tader satheo somporko noshto korto, কুনো কুটুম মোর বাসাত আইলেও তারার লগে খাতির নষ্ট খরতা,kuno kutum mor basat aileo tarar loge khatir noshto khorta,Sylhet,"If any relative came to my house, he would destroy the relationship with them too"
আমরা পারিবারিক কারনে ১ বছরের জন্য এখন নিজ বাড়ি থেকে অন্য জায়গায় ছিলাম,amra paribarik karone ১ bochrer jonno ekhon nij bari theke onno jaygay chilam,আমরা পারিবারিক কারনে ১ বত্‌শরর লাগি এখন নিজর বাড়ি থাকি অইন্য জাগাত আছলাম,amra paribarik karone ১ bot‌shoror lagi ekhon nijor bari thaki oinno jagat achlam,Sylhet,We have been away from home for 1 year due to family reasons
নিজ বাড়িতে এসে শুনি পুরো এলাকাতে আমাদের নামে খারাপ কথা বলেছে,nij barite eshe shuni puro elakate amader name kharap kotha boleche, নিজর বাড়িত আইয়া হুনি পুরা এলাকাত আমরার নামে খারাফ খতা কইছে ,nijor barit aiya huni pura elakat amrar name kharaf khota koiche,Sylhet,"When I came to my home, I heard that the whole area spoke ill of us"
আমার বিরুদ্ধে বুঝিয়েছে যে আমি আমার স্বামীর কে তাবিজ করে নিজ বাড়ি থেকে সরিয়ে ফেলেছি,amar biruddhe bujhiyeche je ami amar sami ke tabij kore nij bari theke soriye felechi,মোর বিরুদ্ধে বুঝাইছে যে মুই মোর জামাইরে তাবিজ খরিয়া নিজর বাড়ি থাকি সরাই লাইছি,mor biruddhe bujhaiche je mui mor jamaire tabij khoriya nijor bari thaki shorai laichi,Sylhet,It is alleged against me that I removed my husband from my house by making him a charm
সমস্ত সম্পত্তি বিক্রি করিয়ে স্বামীকে ছেড়ে চলে যাবো,somosto sompotti bikri koriye samike chere chole jabo,সারা সম্পত্তি বেচাইয়া জামাইরে ছাড়িয়া যাইমুগি ,sara sompotti bechaiya jamaire chariya jaimugi,Sylhet,I will sell all my property and leave my husband
তোমার বৌ নাকি তোমাকে সম্পত্তি বিক্রি করিয়ে ফেলতেছে,tomar bou naki tomake sompotti bikri koriye felteche,তুমার বউ বুলে তুমার সম্পত্তি বেচাইলার ,tumar bou bule tumar sompotti bechailar,Sylhet,Your wife is making you sell the property
আমার স্বামী সবাইকে বুঝিয়ে বুঝিয়ে ক্লান্ত যে আমি এরকম কিছু করছি না,amar sami sobaike bujhiye bujhiye klanto je ami erokom kichu korchi na,মোর জামাই হখলরে বুঝাই বুঝাই ক্লান্ত যে মুই ইলান কিচ্ছু খরিয়ার না,mor jamai hokholre bujhai bujhai klanto je mui ilan kicchu khoriyar na,Sylhet,My husband is tired of explaining to everyone that I am not doing such a thing
মান সন্মানের ভয়ে কেউ কিছু বলে না,man sommaner voye keu kichu bole na,মান সম্মানর ডরে খেউ কুনতা খইন না,man sommanor dore kheu kunta khoin na,Sylhet,No one says anything for fear of dignity
আমাদের ৩ বছরের প্রেম,amader ৩ bochorer prem,আমরার ৩ বত্‌শরের পেরেম,amrar ৩ bot‌shorer perem,Sylhet,Our 3 year love
ছেলেটি বাবা চাচার ভয়ে বাড়িতে কিছু বলতে পারে নাহ,cheleti baba chacar voye barite kichu bolte pare nah,ফুয়াটায় বাফ চাচার ডরে বাড়িত কিচ্চু কইতো ফারে না,fuyatay baf chachar dore barit kicchu koito fare na,Sylhet,The boy cannot say anything at home for fear of his father and uncle
আমার কাছে আরও সময় চাইতো,amar kache aro somoy chaito,মোর টাইন আরো সময় চাইতো,mor tain aro somoy chaito,Sylhet,I wish I had more time
বয়স আমার তখন ১৬ তে পড়লো,boyosh amar tokhon ১৬ te porlo,বয়স মোর তখন ১৬ত পড়লো ,boyos mor tokhon ১৬te porlo,Sylhet,I was 16 at that time
তখনকার সময় মেয়েদের জন্যে এটি অনেক বয়স,tokhonkar somoy meyeder jonne eti onek boyosh,তখনকুর সময় ফুড়িন্তর লাগি ইখটা অনেখ বয়স,tokhonkur somoy furintor lagi ikhta onekh boyosh,Sylhet,It was a very old age for girls at that time
বাড়ি থেকে ছেলে দেখা শুরু করলো,bari theke chele dekha shuru korlo,বাড়ি থাকি ফুয়া দেখা শুরু কর্‌লা,bari thaki fuya dekha shuru kor‌la,Sylhet,The boy started watching from home
তোর বড় ভাইয়ের সাথে বিয়ে ঠিক হইল,tor boro vaiyer sathe biye thik hoilo,তর বড় ভাইর লগে বিয়া ঠিক অইলো ,tor boro vair loge biya thik oilo,Sylhet,Marriage with your elder brother is arranged
আমি এখন তোর ভাইকে বিয়ে করতে চাই না,ami ekhon tor vaike biye korte chai na,মুই এখন তর ভাইরে বিয়া খরতাম চাই না,mui ekhon tor vaire biya khortam chai na,Sylhet,I don't want to marry your brother now
আমি আরও এক বছর পরে বিয়ে করতে চাই,ami aro ek bochor pore biye korte chai,মুই আরো এখ বত্‌শর বাদে বিয়া খরতাম চাই ,mui aro ekh bot‌shor bade biya khortam chai,Sylhet,I want to get married after another year
ছেলেটি আমার বাবার সাথে কথা বলে আমাদের বিয়ে ঠিক করেছে,cheleti amar babar sathe kotha bole amader biye thik koreche,ফুয়াটা মোর আব্বার লগে মাতিয়া আমরার বিয়া ঠিক করছে,fuyata mor abbar loge matiya amrar biya thik korche,Sylhet,The boy talked to my father and fixed our marriage
এরই মাঝে একটি অঘটন ঘটে গেলো,eri majhe ekti oghoton ghote gelo,এর মাঝেউ এখটা অঘটন ঘটি গেলো,er majheu ekhta oghoton ghoti gelo,Sylhet,"Meanwhile, an incident happened"
সে তাঁর বাবার ভয়ে কোন কথাই বলতে পারলো না,se tar babar voye kono kothai bolte parlo na,হে তার বাফর ডরে কুনো মাত মাততো ফারলো না ,he tar bafor dore kuno mat matto farlo na,Sylhet,He could not say anything because of fear of his father
আমি এখনই বিয়ে করে ফেলতে চাই,ami ekhni biye kore felte chai,মুই এখন অউ বিয়া করিলতাম চাই ,mui ekhon ou biya koriltam chai,Sylhet,I want to get married now
আমার সব শেষ হয়ে যাবে,amar shob shesh hoye jabe,মোর হখলতা শেষ অই যাইবো গিয়া,mor hokholta shesh oi jaibo giya,Sylhet,It's all over for me
