bangla_speech ,banglish_speech ,barishal_bangla_speech ,barishal_banglish_speech ,region_name ,english_speech
আমি ঠিক আছি,ami thik achi,মুই ঠিক আছি,mui thik achi,Barishal ,I'm fine
আমাকে বিশ্বাস করো,amake bisshas koro,মোরে বিশ্বাস করো,more bisshas koro,Barishal ,Trust me
আমার প্রশ্নের জবাব দিন,amar proshner jobab din,মোর প্রশ্নের উত্তর দেন,mor proshner uttor den,Barishal ,Answer my question
আমি তাকে দখতে পেলাম,ami take dekhte pelam,মুই হ্যারে দ্যাখতে পাইলাম,mui here dekhte pailam,Barishal ,I saw him
আমাকে ঢুকতে দিন,amake dhukte din,মোরে ঢোকতে দেন,more dhokte den,Barishal ,Let me in
আমাকে যেতে দাও,amake jete dao,মোরে যাইতে দেও,more jaite deo,Barishal ,Let me go
এখানে অপেক্ষা করুন,ekhane opekkha korun,এইহানে অপেক্ষা করেন,eihane opekkha koren,Barishal ,Wait here
আমি অসুস্থ হয়ে পরেছিলাম,ami osustho hoye porechilam,মুই অসুস্থ হইয়া পরছেলাম,mui osustho hoiya porchelam,Barishal ,I fell ill
আমি ওদের দেখতে পেলাম,ami oder dekhte pelam,মুই অগো দ্যাখতে পাইলাম,mui ogo dekhte pailam,Barishal ,I saw them
সময় শেষ হয়ে গেছে,somoy shesh hoye geche,সময় শ্যাষ হইয়া গ্যাছে,somoy shesh hoiya geche,Barishal ,Time is up
আমরা অপেক্ষা করব,amra opekkha korbo,মোরা অপেক্ষা করমু,mora opekkha kormu,Barishal ,We will wait
তিনি উঠে দাঁড়ালেন,tini uthe daralen,হ্যায় উইটঠা খারাইছে,hey uittha kharaiche,Barishal ,He stood up
আমি বেশি লম্বা,ami beshi lomba,মুই বেশি উচা,mui beshi ucha,Barishal ,I'm taller
আমি ক্ষমা চাইছি,ami khoma chaichi,মুই মাফ চাই,mui maf chai,Barishal ,I apologize
আমি ফিরে এলাম,ami fire elam,মুই ফিররা আইলাম,mui firra ailam,Barishal ,I came back
আমি কেক পছন্দ করি,ami cake pochondo kori,মুই কেক পছন্দ করি,mui cake pochondo kori,Barishal ,I like cake
একটু ঘুমিয়ে নাও,ektu ghumiye nao,এট্টুহানে ঘুমাইয়া লও,ettuhane ghumaiya low,Barishal ,Get some sleep
আমি একা ছিলাম,ami eka chilam,মুই এল্লাহ আল্লাম,mui ellah allam,Barishal ,I was alone
আমার সঙ্গে আসুন,amar songe ashun,মোর লগে আয়েন,mor loge ayen,Barishal ,Come with me
তিনি রেগে গেছিলেন,tini rege gechilen,হ্যায় চেইত্যা গ্যাল্লেহ,hey cheitta gelleh,Barishal ,He was angry
আমার হাতটা ধরুন,amar hat ta dhorun,মোর হাতটা ধরেন,mor hatta dhoren,Barishal ,Take my hand
আমি অবাক হয়ে গেছিলাম,ami obak hoye gechilam,মুই অবাক হইয়া গ্যাল্লাহম,mui obak hiya gallahom,Barishal ,I was surprised
আমি আসবো না,ami ashbo na,মুই আমু না,mui amu na,Barishal ,I won't come
আমি হারবো না,ami harbo na,মুই ঠগমু না,mui thogmu na,Barishal ,I won't lose
আমার হাত ব্যাথা করছে,amar hat betha korche,মোর হাতে ব্যাথা করতেয়াছে,mor hate betha korteyache,Barishal ,My hand hurts
আমার পা ব্যাথা করছে,amar pa betha korche,মোর ঠ্যাঙ্গে ব্যাথা করতেয়াছে,mor thongge betha korteyache,Barishal ,My feet hurt
আপনাকে কে পাঠিয়েছে?,apnake ke pathiyeche?,আমনেরে কেডা পাডাইছে?,amnere keda padaiche?,Barishal ,Who sent you?
তোমাকে দেখে অসুস্থ বলে মনে হচ্ছে,tomake dekhe osustho bole mone hocche,তোমারে দেইখ্যা অসুস্থ্য বইললা মনে হইতেয়াছে,tomare deikkha osushtho boilla mone hoiteyache,Barishal ,You look sick
আপনারা আগে যান,apnara age jan,আমনেরা আগে যান,amnera age jan,Barishal ,You go first
আমাকে ডাকবেন না,amake dakben na,মোরে বোলাইবেন না,more bolaiben na,Barishal ,Don't call me
আমার হলুদ রঙ পছন্দ,amar holud rong pochondo,মোর হইলদা রঙ পছন্দ,mor hoilda rong pochondo,Barishal ,I like yellow color
আমি আপেল পছন্দ করি,ami apple pochondo kori,মুই আফেল পছন্দ করি,mui afel pochondo kori,Barishal ,I like apples
আমার ঠান্ডা লেগেছে,amar thanda legeche,মোর ঠান্ডা লাগজে,mor thanda lagje,Barishal ,I have a cold
আমার খিদে পাচ্ছে,amar khide pacche,মোর খিদা পাইতেয়াছে,mor khida paiteyache,Barishal ,I'm getting hungry
আমি বিদেশে গেছিলাম,ami bideshe gechilam,মুই বিদ্যাশ গ্যাল্লাহম,mui bidash gellahom,Barishal ,I went abroad
আমি ভেতরে গেলাম,ami vetore gelam,মুই ভিতরে যাই,mui vitore jai,Barishal ,I went inside
সে রেগে গেছিলো,se rege gechilo,হ্যায় চেইত্যা গ্যাল্লেহ,hey cheitta gelleh,Barishal ,He was angry
আমাকে ওখানে নিয়ে চলুন,amake okhane niye cholun,মোরে ওইহানে লইয়া লয়েন,more oihane loiya loyen,Barishal ,Take me there
সে আমার স্ত্রী,se amar stri,হ্যায় মোর বউ,hey mor bou,Barishal ,she is my wife
আপনাকে দেখে অসুস্থ বলে মনে হচ্ছে,apnake dekhe osustho bole mone hocche,আমনেরে দেইখ্যা অসুস্থ্য বইললা মনে হইতেয়াছে,amnere deikha osusthjo boilla mone hoiteyache,Barishal ,You look sick
আমাদের বিয়ের পর থেকেই নানা ছোটখাটো কারনে ঝগড়া লেগে থাকতো,amader biyer por thekei nana chotokhato karone jhogra lege thakto,মোগো বিয়ার পরে গোনেই ম্যালা ছোডোখাডো কারনে কাইজ্যা লাইজ্ঞা থাকতে,mogo biyar pore gonei mela chodokhado karone kaijja laigga thakte,Barishal ,"Ever since we got married, we used to quarrel for various small reasons"
আমি বুঝতে পারতাম তার অন্য কোথাও সম্পর্কে আছে,ami bujhte partam tar onno kothao somporke ache,মুই বোঝতে পারছেলাম হ্যার অন্য কোনহানে সম্পর্ক আছে,mui bojhte parchelam her onno konohane somporko ache,Barishal ,I could understand her having a relationship elsewhere
সে কোন দিন স্বীকার করে না,se kono din sikar kore na,হ্যায় কোন কালে স্বীকার করে না,hey kono kale shikar kore na,Barishal ,He never admits
এভাবে নানা রকম ঝামেলা হতে থাকে,evabe nana rokom jhamela hote thake,এমনে বিভিন্ন ধরনের সমেস্যা হইতে থাহে,emne bivinno dhoroner somessa hoite thahe,Barishal ,In this way various kinds of trouble started
আমাদের পারিবারিক ভাবে বিয়ে হয়,amader paribarik vabe biye hoy,মোগো পারিবারিক ভাবে বিয়া হয়,mogo paribarik vabe biya hoy,Barishal ,We got married as a family
যখন বাড়ীতে জানাই তখন নানা রকম কথা হয়,jokhon barite janai tokhon nana rokom kotha hoy,যহন বাসায় কই তহন বিভিন্ন তারহার কথা হয়,johon bashay koi tohon bivinno tarhar kotha hoy,Barishal ,"When I tell at home, there are various things"
বেশ কয়েক বার তাকে সু্যোগ দেয়া হয়,besh koyek bar take sujog deya hoy,বেমালা বার হ্যারে সুযোগ দেওয়া হইছে,bemala bar here sujog deoya hoiche,Barishal ,He was given the opportunity several times
কিন্তু সে ভালো হয়না,kintu se valo hoyna,তয় হ্যায় ভালো হয় না,toy hey valo hoy na,Barishal ,But he is not well
অনেক দিন বাবার বাসায় ছিলাম,onek din babar basay chilam,ম্যালা দিন বাফের বাড়ি আল্লাহম,mela din bafer bari allahom,Barishal ,I was at my father's house for many days
"তোমাকে ছাড়া বাচবো, তোমার বিয়েতেও নাচবো","tomake chara bachbo, tomar biyeteo nacbo","তোমারে থুইয়া বাচমু, তোমার বিয়াতেও নাচমু","tomare thuiya bachmu, tomar biyateo nachmu",Barishal ,"I will live without you, I will dance at your wedding"
সে তখন আবারো ফিরে চায় আমাকে,se tokhon abaro fire chay amake,হ্যায় হেইকালে ফিররা ফেরত চায় মোরে,hey heikale firra ferot chay more,Barishal ,He then wants me back again
এক পর্যায়ে এমন অবস্থা করে মে আমিও দূবল হয়ে যাই,ek porjaye emon obostha kore je amio durbol hoye jai,এক কালে এরহম অবস্থা করছেলে যে মুইও দূর্বল হইয়া যাই,ek kale erohom obostha korchele je muio durbol hoiya jai,Barishal ,At some point I became weak due to such a situation
কিছু দিন সে ভালো থাকে,kichu din se valo thake,কয়ডা দিন হ্যায় ভালো আল্লেহ,koyda din hey valo alleh,Barishal ,Some days he is fine
তারপর একের পর এক অশান্তি বাড়তে থাকে,tarpor eker por ek oshanti barte thake,হেইয়ারপর এউক্কার পর এউক্কা অশান্তি বাড়তেই থাহে,heiyaropor eukkar por eukka oshanti bartei thahe,Barishal ,Then one after another the disturbance started to increase
সে যার সাথে সম্পর্কে জড়িয়ে তাকে বিয়ে করবে না বলে কিন্তু সম্পর্ক রাখবে,se jar sathe somporke joriye take biye korbe na bole kintu somporko rakhbe,হ্যায় যের লগে সম্পর্কে জড়াইছে হ্যারে বিয়া করবেনা কয় তয় সম্পর্ক রাখবে,hey jer loge somporke joraiche here biya korbena koy toy somporko rakhbe,Barishal ,He says that he will not marry the person with whom he is in a relationship but will have a relationship
সে শুধু আমাকে খাবার টুকু ঠিক মত দেয় যেন কাউকে বলতে না পারি,se shudhu amake khabar tuku thik moto dey jeno kauke bolte na pari,হ্যায় খালি মোরে খাওন ডু ঠিক মত দ্যায় যানি কাউরে কইতে না পারি,hey khali more khaon du thik moto dey jani kaure koite na pari,Barishal ,He just gives me the food so that I can't tell anyone
আমার তো একটা হাত খরচ লাগে তাও সে দেয়না,amar to ekta hat khoroc lage tao se deyna,মোর তো এউক্কা হাত খরচ লাগে হেইয়াও হ্যায় দ্যায় না,mor to eukka hat khoroch lage heiyao hey dey na,Barishal ,He doesn't even pay me a hand
বাবা হিসেবে ছেলেকে ভালবাসে অনেক,baba hisebe cheleke valobase onek,বাফ হিসাবে পোলারে ভালবাসে ম্যালা,baf hishabe polare valobashe mela,Barishal ,"As a father, he loves his son a lot"
চুপ ছিলাম বুঝাইছি অনেক লাভ হয়নি,chup chilam bujhaichi onek lav hoyni,চুপ আল্লাহম বুঝাইছি বেমালা লাভ হয় নাই,chup allahom bujhaichi bemala lav hoy nai,Barishal ,"I was silent, but it was not much use"
এক পর্যায়ে আবারো বাড়িতে জানানো হয়,ek porjaye abaro barite janano hoy,এক কালে ফিররা বাড়িতে জানাইন্না হয়,ek kale firra barite janainna hoy,Barishal ,At one point it was reported to the house again
তখন সে অনেক খারাপ আচরন করে,tokhon se onek kharap acoron kore,হেইকালে হ্যায় ম্যালা খারাপ আচরন করছেলে,heikale hey mela kharap achoron korchele,Barishal ,Then he behaves very badly
সে আমার পরিবারের কাউকে সম্মান করেনা,se amar poribarer kauke somman korena,হ্যায় মোর বাড়ির কাউরে সম্মান করেনা,hey mor barir kaure somman korena,Barishal ,He doesn't respect anyone in my family
"সে কারো কথা বলেনা ,কারো বাসায় যায়না","se karo kotha bolena ,karo basay jayna","হ্যায় কেউর কথা কয়না, কাউরে সম্মান করেনা","hey keur kotha koyna, kaure somman korena",Barishal ,"He does not talk to anyone, does not go to anyone's house"
এমন কি আমার বাবা মা সামনে আসলে সালাম পর্যন্ত দেয়না,emon ki amar baba ma samne asle salam porjonto deyna,এমন কি মোর বাপ মায় সামনে আইলে সালামডা পর্যন্ত দেয়না,emon ki mor bap may samne aile salamda porjonto deyna,Barishal ,Even my parents don't even say hello when they come in front of me
সে তাদের সাথে সম্পর্ক রাখবো না,se tader sathe somporko rakhbe na,হ্যায় হ্যাগো লগে সম্পর্ক রাখবে না,hey hego loge somporko rakhbe na,Barishal ,He will not associate with them
আমি তখন বলি কেন কি হইছে ?,ami tokhon boli ken ki hoiche ?,মুই তহন জিগাই কিরলইজ্ঞা কি হইছে?,mui tohon jigai kirliggaa ki hoiche?,Barishal ,I then say why what happened?
তারা আমাকে অনেক অপমান করছে,tara amake onek opoman korche,হ্যারা মোরে বেমালা অফোমান করছে,hera more bemala ofoman korche,Barishal ,They insult me a lot
আপনারা বলেন সে পরকিয়া করবে বউ কে মারবে আর বাবা মা চুপ থাকবে?,apnara bolen se porokiya korbe bou ke marbe ar baba ma cup thakbe?,আমনেরা কন হ্যায় পরকিয়া করবে বউ রে মারবে আর বাপ মায় চুপ থাকপে?,amnera kon hey porokiya korbe bou re marbe ar bap may chup thakpe?,Barishal ,You say he will commit adultery and beat his wife and parents will remain silent???
আমার কোন ভাই নেই আমি বড় মেয়ে,amar kono vai nei ami boro meye,মোর কোন ভাই নাই মুই বড় মাইয়া,mor kono vai nai mui boro maiya,Barishal ,"I have no brother, I am the eldest daughter"
আমাদের মধ্যেবিও পরিবার,amader moddhobitto poribar,মোগো মইধ্যাবিত্ত পরিবার,mogo moidhabitto poribar,Barishal ,We are also family
এসব কিছু কাউকে বলে কোন সমাধান নাই,esob kichu kauke bole kono somadhan nai,এইহগল কিছু কেউরে কইয়া কোন সমাধান নাই,eihogol kichu keure koiya kono somadhan nai,Barishal ,There is no solution to say these things to anyone
তারা বলে আমরা আমাদের বউ কে কত মারি কোন দিন মুখ দিয়ে কথা বের করে না,tara bole amra amader bou ke koto mari kon din mukh diye kotha ber kore na,হ্যারা কয় মোরা মোগো বউ রে কত মারি কোন কালে মুখ দিয়া কথা বাইর করে না,hera koy mora mogo bou re koto mari kon kale mukh diya kotha bair kore na,Barishal ,"They say how much we beat our wives, they never speak out"
আমার শাশুড়িও নেই মারা গেছে অনেক আগে,amar shashurio nei mara geche onek age,মোর হাউরি নাই মইররা গ্যাছে ম্যালা আগে,mor hauri nai moirra geche mela age,Barishal ,My mother-in-law also died a long time ago
আমরা বিয়ের পর থেকেই আলাদা থাকি,amra biyer por thekei alada thaki,মোরা বিয়ার পরে গোনে ভিন্ন থাহি,mora biyar pore gone vinno thahi,Barishal ,We have been separated since marriage
শশুরবাড়ি আমার স্বামীর কিছু নেই কারণ তার মা নাই,shoshurbari amar samir kichu nei karon tar ma nai,হউরবাড়ি মোর জামাইর কিছু নাই কারণ হ্যার মায় নাই,hourbari mor jamair kichu nai karon her may nai,Barishal ,In-laws My husband has nothing because he has no mother
তার বাবা বিয়ে করেছে সেখানে বছরে একবার যাওয়া হয়,tar baba biye koreche sekhane bochore ekbar jaoya hoy,হ্যার বাফে বিয়া করছে হেইহানে বছরে একবার যাওন হয়,her bafe biya korche heihane bochore ekbar jaon hoy,Barishal ,His father got married and went there once a year
আমি তোমাকে খাবার দেই,ami tomake khabar dei,মুই তোমারে খাওন দেতেয়াছি,mui tomare khaon deteyachi,Barishal ,I give you food
আপনারা বলেন যে স্বামী ভালোবেসে কথা বলেনা,apnara bolen je sami valobeshe kotha bolena,আমনেরা কন যে জামাই ভালবাইসসা কথা কয়না,amnera kon je jamai valobaissa kotha koyna,Barishal ,You say that the husband does not speak in love
এসব সমস্যার সমাধান কোথায় পাবো,esob somossar somadhan kothay pabo,এইহগল সমেস্যার সমাধান কোম্মে পামু,eihogol somesshar somadhan komme pamu,Barishal ,Where can I find solutions to these problems?
আমি অনেক চেষ্টা করেছি যে আমার কোন ভুল আছে কিনা,ami onek cheshta korechi je amar kono vul ache kina,মুই ম্যালা চেষ্টা করছি যে মোর কোন ভুল আছে কিনা,mui mela cheshta korchi je mor kono vul ache kina,Barishal ,I've tried a lot to see if I'm doing something wrong
সে সবাই কে বলে আমি তো ওর সাথেই সংসার করি,she shobai ke bole ami to or sathei songsar kori,হ্যায় হগলডি রে কয় মুই তো অর লগেই সংসার করি,hey hogoldi re koy mui to or logei songsar kori,Barishal ,He tells everyone that I live with him
এমন না যে আমি দেখতে অসুন্দর,emon na je ami dekhte oshundor,এইয়া না যে মুই দ্যাখতে অসুন্দর,eiya na je mui dekhte oshundor,Barishal ,Not that I'm ugly
যে কেউ আমাকে এক দেখা তে পছন্দ করবে,je keu amake ek dekha te pochondo korbe,যে কেউ মোরে এক দেহা তে পছন্দ করবে,je keu more ek deha te pochondo korbe,Barishal ,Anyone would love to meet me
কোন উপায় পাইনা কি করব,kon upaina paina ki korbo,কোন উপায় পাইনা কি করমু,kon upay paina ki kormu,Barishal ,I have no way what to do
শুধু ছেলের মুখের দিকে তাকিয়ে চুপ করে আছি,shudhu cheler mukher dike takiye chup kore achi,খালি পোলার মুহের দিক চাইয়া চুপ কইররা আছি,khali polar muher dik chaiya chup koirra achi,Barishal ,Just looking at my son's face I am silent
কিন্তু আমি বেঁচে থেকে মরে আছি,kintu ami beche theke more achi,তয় মুই বাইচচা থাইক্কাও মইররা আছি,toy mui baiccha thaikkao moirra achi,Barishal ,But I live and die
আমি আমার স্বামীর ভালবাসা চাই,ami amar samir valobasha chai,মুই মোর জামাইর ভালোবাসা চাই,mui mor jamair valobasha chai,Barishal ,I want my husband's love
আমার পরিবারের সবার সাথে ও কথা বলুক এটা চাই,amar poribarer sobar sathe o kotha boluk eta chai,মোর পরিবারের হগলডির লগে অয় কথা কউক হেইডা চাই,mor poribarer hogoldir loge oy kotha kouk heida chai,Barishal ,I want it to talk to all my family
আমার বাবা মা অনেক বার মাফ চাইছে,amar baba ma onek bar maf caiche,মোর বাপ মায় বেমালা বার মাফ চাইছে,mor bap may bemala bar maf chaiche,Barishal ,My parents are asking for forgiveness many times
যা হইছে হয়ে গেছে তোমার কথাই মানলাম আমাদের দোষ ,ja hoiche hoye geche tomar kothai manlam amader dosh,যেইয়া হইছে হইয়া গ্যাছে তোমার কথাই মানছি মোগো দোষ,jeiya hoiche hoiya geche tomar kothai manchi mogo dosh,Barishal ,Whatever happened is our fault
আমি চাইলেই আমার বাবার বাসায় চলে যেতে পারি,ami chailei amar babar basay chole jete pari,মুই চাইলেই মোর বাফের বাড়ি চইললা যাইতে পারি,mui chailei mor bafer bari choilla jaite pari,Barishal ,I can go to my father's house whenever I want
সমাজের মানুষ নানান কথা বলবে,somajer manush nanan kotha bolbe,সমাজের মানু বিভিন্ন কথা কইবে,somajer manu bivinno kotha koibe,Barishal ,People in society will say different things
আমার বাবা অসুস্থ হয়ে যাবে,amar baba oshustho hoye jabe,মোর বাফে অসুস্থ্য হইয়া যাইবে,mor bafe osustho hoiya jaibe,Barishal ,My father will fall ill
সে এখন নিজে মুখেই বলে তোমার সাথে আবার ও সব ঠিক করছি,se ekhon nije mukhei bole tomar sathe abar o shob thik korchi,হ্যায় এহন নিজের মোহে কয় তোমার লগে ফিররা সব ঠিক করতেয়াছি,hey ehon nijer mohe koy tomar loge firra sob thik korteyachi,Barishal ,He now says in his own mouth that he is fixing everything with you again
অন্য কোথাও বিয়ে করে ভালো থাকবা তা কীভাবে হয়,onno kothao biye kore valo thakba ta kivabe hoy,অন্য কোনহানে বিয়া কইররা ভালো থাকবা হেইয়া ক্যামনে হয়,onno konhane biya koirra valo thakba heiya kemne hoy,Barishal ,How about getting married somewhere else?
সে বাহিরে যা ইচ্ছা করবে বউ হিসাবে আমাকে রাখবে,se bahire ja iccha korbe bou hishabe amake rakhbe,হ্যায় বায়রায় যা ইচ্ছা করবে বউ হিসাবে মোরে রাখবে,hey bayray ja iccha korbe bou hishabe more rakhbe,Barishal ,He will keep me as wife whatever he wants outside
এদিকে আমার পরিবারের সাথে সম্পর্ক রাখবে না ,edike amar poribarer sathe somporko rakhbe na,এইহানে মোর পরিবারের লগে সম্পর্ক রাখবে না,eihane mor poribarer loge somporko rakhbe na,Barishal ,"Meanwhile, don't keep in touch with my family"
আমাকে অনেক মারত,amake onek marto,মোরে ম্যালা মারতে,more mela marte,Barishal ,He beat me a lot
ছেলেটার ভবিষ্যতের কথা ভেবে চুপ করে আছি,cheletar vobisshoter kotha vebe chup kore achi,পোলাডার ভবিষ্যতের কথা ভাইব্বা চুপ কইররা রইছি,poladar vobisshoter kotha vaibba chup koirra richi,Barishal ,I am silent thinking about the boy's future
আমার বাবা মাও এটা নিয়ে অনেক কষ্ট পাচ্ছে,amar baba mao eta niye onek koshto pacche,মোর বাপ মায়ও এইডা ল্পইয়া ম্যালা কষ্ট পাইতেয়াছে,mor bap mayo eida loiya mela koshto paiteyache,Barishal ,My parents are also suffering from it
আমি বড় মেয়ে আমার ছোট বোন আছে শুধু,ami boro meye amar choto bon ache shudhu,মুই বড় মাইয়া মোর ছোডো বুইন আছে খালি,mui boor maiya mor chodo buin ache khali,Barishal ,I am the eldest daughter and I only have a younger sister
আপনার পরামর্শ দেন আমি কি করব,apnar poramorsho den ami ki korbo,আমনেরা পরামর্শ দ্যান মুই কি করমু,amnera poramorsho den mui ki kormu,Barishal ,What do you advise me to do?
দিন দিন মানসিক ভাবে অসুস্থ হয়ে যাচ্ছি,din din manoshik vabe oshustho hoye jacchi,দিন দিন মানসিক ভাবে অসুস্থ্য হইয়া যাইতেয়াছি,din din manosik vabe osustho hoiya jaiteyachi,Barishal ,I am getting mentally sick day by day
কোন কথা খারাপ লাগলে দয়া করে মাফ করবেন,kono kotha kharap lagle doya kore maf korben,কোন কথা খারাপ লাগলে দয়া কইররা মাফ কইরেন,kono kotha kharap lagle doya koirra maf koiren,Barishal ,Please forgive me for any offense
আমি প্রেম করে বিয়ে করেছি,ami prem kore biye korechi,মুই প্রেম কইররা বিয়া করছি,mui prem koirra biya korchi,Barishal ,I married for love
আমি আমার স্বামীকে অনেক ভালোবাসি,ami amar sbamike onek valobashi,মুই মোর জামাইরে বেমালা ভালোবাসি,mui mor jamaire bemala valobashi,Barishal ,I love my husband very much
আমার বয়স উনিশ বছর,amar boyosh unish bochor,মোর বয়স উনিশ বছর,mor boyosh unish bochor,Barishal ,I am nineteen years old
একজন মানুষ কি এমনি এমনি খারাপ হয় বলেন,ekjon manush ki emni emni kharap hoy bolen,এউক্কা মানু কি এমনে এমনে খারাপ হয় কন?,eukka manu ki emne emne kharap hoy kon?,Barishal ,Is a man so bad?
এমন কিছু করবো যাতে তার কাছে আমাকে না যেতে হয়,emon kichu korbo jate tar kache amake na jete hoy,এরহম কিছু করমু যাতে হ্যার ধারে মোরে না যাইতে হয়,erohom kichu kormu jate her dhare more na jaite hoy,Barishal ,I will do something so that I don't have to go to him
আমি কার কাছে চাইবো?,ami kar kache chaibo?,মুই ক্যার ধারে চামু?,mui ker dhare chamu?,Barishal ,Who should I ask?
আপনি থানায় গিয়ে একটা মামলা করেন,apni thanay giye ekta mamla koren,আমনে থানায় যাইয়া এউক্কা মামলা করেন,amne thanay jaiya eukka mamla koren,Barishal ,You go to the police station and file a case
পুলিশকে সবকিছু প্রথম থেকে শেষ পর্যন্ত খুলে বলেন আপনার সাথে যা যা হয়েছে,police ke sobkichu prothom theke shesh porjonto khule bolen apnar sathe ja ja hoyeche,পুলিশরে হগলকিছু পরথোম গোনে শ্যাষ পর্যন্ত খুইললা কন আমনের লগে যেইয়া যেইয়া হইছে,police re hogolkichu porthom gone shesh porjonto khuilla kon amner loge jeiya jeiya hoiche,Barishal ,Tell the police everything that happened to you from beginning to end
পুলিশকে এটাও বলেন যে আমি যদি আমার সমস্যার কোন সমাধান পাইনি,police ke etao bolen je ami jodi amar somoshar kono somadhan paini,পুলিশরে এইডাও কন যে মুই যদি মোর সমেস্যার কোন সমাধান পাইনাই,police re eidao kon je mui jodi mor somessar kon somadhan painai,Barishal ,Also told the police that if I did not get any solution to my problem
আমি কিন্তু আত্মহত্যা করতে বাধ্য হব,ami kintu attohotta korte baddho hobo,মুই কোলো আত্মহত্যা করতে বাইধ্য হমু,mui kolo attohotta korte baiddho homu,Barishal ,But I will be forced to commit suicide
এতে পুলিশের উপর চাপ আসবে,ete policer upor chap ashbe,এইতে পুলিশের উপরে চাপ আইবে,eite police er upore chap aibe,Barishal ,This will put pressure on the police
আপনার মা এবং স্বামী দুজনেই সতর্ক হবে আপনার প্রতি,apnar ma ebong sami dujonei sotorko hobe apnar proti,আমনের মায় আর আমনের জামাই দুইজনি সতর্ক হইবে আমনের জইন্য,amner may ar amner jamai duijoni sotorko hoibe amner joinno,Barishal ,Both your mother and husband will be wary of you
আপনি যদি পুলিশকে সবটা খুলে বলেন তাহলেই দেখবেন সমস্যার সমাধান হয়ে গেছে,apni jodi police ke shobta khule bolen taholei dekhben somossar somadhan hoye geche,আমনে যদি পুলিশরে পুরাডা খুইললা কয়ন হেইলেই দ্যাখবেন সমেস্যার সমাধান হইয়া গ্যাছে,amne jodi police re purada khuilla koyon heilei dekhben somessar somadhan hoiya geche,Barishal ,"If you tell everything to the police, you will see that the problem is solved"
আপনি একটা সাহায্য পাচ্ছেন পুলিশের কাছ থেকে,apni ekta sahajjo pacchen police er kach theke,আমনে এউক্কা সাহাইয্য পাইতেয়াছেন পুলিশের ধারে গোনে,amne eukka sahaijjo paiteyachen police er dhare gone,Barishal ,You are getting help from the police
আমি বলব আপনি বিবাহবিচ্ছেদ পথ বেছে নেন,ami bolbo apni bibahobicched poth beche nen,মুই কমু আমনে বিয়া ভাঙ্গার রাস্তা বাইচছা লন,mui komu amne biya vanggar rasta baiccha lon,Barishal ,I would say you choose the divorce route
নিজের মতন করে বাঁচুন,nijer moton kore bachun,নিজের নাহান কইররা বাচেন,nijer nahan koirra bachen,Barishal ,Live your way
দুই বেলা ডাল ভাত খেয়ে নিজের মত একা থাকা অনেক ভালো,dui bela dal vat kheye nijer moto eka thaka onek valo,দুজ্ঞা ব্যালা ডাইল ভাত খাইয়া নিজের নাহান একলা থাহা ম্যালা ভালো,dugga bala dail vat khaiya nijer nahan ekla thaha mela valo,Barishal ,It is better to be alone like yourself after two meals of dal bhat
যাই হোক মায়ের কাছে অনেক কিছু পাওয়ার থাকলেও আপনি তেমন কিছু পান নাই,jai hok mayer kache onek kichu paoyar thakleo apni temon kichu pan nai,যাই হোক মায়ের ধারে ম্যালা কিছু পাওনের থাকলেও আমনে তেমন কিছু পান নাই,jai hok mayer dhare mela kichu paoner thakleo amne temon kichu pan nai,Barishal ,"In any case, mother has got a lot but you haven't got much"
অন্যদিকে আপনার স্বামীও লোক হিসেবে ভাল না,onnodike apnar samio lok hisebe valo na,অন্যদিক আমনের জামাইও মানু হিসাবে ভাল না,onnodik amner jamaio manu hishabe valo na,Barishal ,"On the other hand, your husband is also not good as a person"
আপনার দুই দিকেই জ্বালা হইছে,apnar dui dikei jala hoiche,আমনের দুই দিকই জ্বালা হইছে,amner dui diki jala hoiche,Barishal ,You are burning on both sides
কিছু কিছু বিষয়ের কোন সমাধান থাকে না,kichu kichu bishoyer kono somadhan thake na,কিছু কিছু বিষয়ে কোন সমাধান থাহে না,kichu kichu bishoye kono somadhan thahe na,Barishal ,Some things have no solution
অবশ্যই আপনি নিয়মিত নামাজ পড়ে আল্লাহর কাছে শান্তি প্রার্থনা করতে পারেন,obosshoi apni niyomito namaj pore allahor kache shanti prarthona korte paren,অবশ্যই আমনে পেরতেকদিন নামাজ পইররা আল্লাহর ধারে শান্তি দোয়া করতে পারেন,obosshoi amne pertekdin namaz poirra allahor dhare shanti doya korte paren,Barishal ,Of course you can ask Allah for peace by praying regularly
নিজেকে যোগ্য করে গড়ে তুলতে পারেন,nijeke joggo kore gore tulte paren,নিজেরে যোগ্য কইররা গইড়রা তোলতে পারেন,nijere joggo koirra goirra tolte paren,Barishal ,You can make yourself qualified
নিজেই নিজের জীবন পরিচালনা করতে পারেন,nijei nijer jibon porichalona korte paren,নিজেই নিজের জীবন চালাইতে পারেন,nijei nijer jibon chalaite paren,Barishal ,You can manage your own life
আপনার জন্য শুভকামনা রইল,apnar jonno shuvokamona roilo,আমনের লইজ্ঞা শুভকামনা রইল,amner loigga shuvkamna roilo,Barishal ,Best wishes to you
